epoch,batch,n_batches,running_loss,batch_loss,lr,batch_f1,batch_acc,batch_prec
1,10,53,0.698864,0.696624,0.00001000,0.195551,0.449561,0.159378
1,20,53,0.695891,0.689646,0.00001000,0.198997,0.527412,0.200779
1,30,53,0.693244,0.685628,0.00001000,0.197193,0.562500,0.196723
1,40,53,0.690627,0.682289,0.00001000,0.105741,0.587719,0.074565
1,50,53,0.688092,0.677616,0.00001000,0.132240,0.619518,0.193312
1,53,53,0.687384,0.678627,0.00001000,0.078947,0.605263,0.070175
2,10,53,0.661579,0.649338,0.00005500,0.045139,0.803728,0.050206
2,20,53,0.647333,0.622490,0.00005500,0.024749,0.845395,0.065789
2,30,53,0.632769,0.599963,0.00005500,0.000000,0.831140,0.000000
2,40,53,0.617397,0.554584,0.00005500,0.005848,0.877193,0.052632
2,50,53,0.602856,0.535417,0.00005500,0.000000,0.864035,0.000000
2,53,53,0.598395,0.529027,0.00005500,0.000000,0.881579,0.000000
3,10,53,0.501977,0.466638,0.00010000,0.000000,0.876097,0.000000
3,20,53,0.478967,0.433539,0.00010000,0.012146,0.871711,0.052632
3,30,53,0.457511,0.409721,0.00010000,0.005263,0.845395,0.017544
3,40,53,0.437468,0.359272,0.00010000,0.027290,0.875000,0.046053
3,50,53,0.419207,0.351575,0.00010000,0.024499,0.854167,0.047368
3,53,53,0.415217,0.367036,0.00010000,0.070175,0.868421,0.078947
4,10,53,0.319121,0.309089,0.00009856,0.079817,0.871711,0.125598
4,20,53,0.310324,0.293732,0.00009856,0.132264,0.887061,0.152791
4,30,53,0.306418,0.306077,0.00009856,0.143704,0.872807,0.136623
4,40,53,0.302392,0.276368,0.00009856,0.161014,0.890351,0.176366
4,50,53,0.299153,0.295723,0.00009856,0.141711,0.871711,0.170072
4,53,53,0.298375,0.338428,0.00009856,0.000000,0.842105,0.000000
5,10,53,0.272120,0.246838,0.00009433,0.206395,0.902412,0.252915
5,20,53,0.268914,0.245493,0.00009433,0.200132,0.899123,0.296560
5,30,53,0.266277,0.283569,0.00009433,0.174248,0.888158,0.240834
5,40,53,0.263299,0.224448,0.00009433,0.218909,0.906798,0.258741
5,50,53,0.260715,0.235506,0.00009433,0.238578,0.915570,0.327210
5,53,53,0.262140,0.313105,0.00009433,0.105263,0.868421,0.105263
6,10,53,0.257152,0.270938,0.00008755,0.229631,0.888158,0.401066
6,20,53,0.248884,0.252897,0.00008755,0.257892,0.899123,0.392638
6,30,53,0.243594,0.215189,0.00008755,0.262998,0.912281,0.318657
6,40,53,0.243143,0.315274,0.00008755,0.174887,0.860746,0.324608
6,50,53,0.242236,0.218103,0.00008755,0.297263,0.918860,0.379067
6,53,53,0.242611,0.225134,0.00008755,0.131579,0.868421,0.157895
7,10,53,0.245337,0.248472,0.00007862,0.252517,0.894737,0.311447
7,20,53,0.243519,0.258443,0.00007862,0.260740,0.894737,0.376428
7,30,53,0.239761,0.229881,0.00007862,0.287847,0.908991,0.456863
7,40,53,0.238705,0.237198,0.00007862,0.315400,0.900219,0.400824
7,50,53,0.236302,0.230604,0.00007862,0.319052,0.907895,0.404922
7,53,53,0.237734,0.307208,0.00007862,0.078947,0.855263,0.105263
8,10,53,0.224398,0.209724,0.00006805,0.305447,0.919956,0.392325
8,20,53,0.227047,0.240628,0.00006805,0.289209,0.907895,0.361905
8,30,53,0.225957,0.193300,0.00006805,0.338162,0.921053,0.427665
8,40,53,0.224443,0.199233,0.00006805,0.409226,0.929825,0.489411
8,50,53,0.225107,0.259593,0.00006805,0.257992,0.880482,0.360475
8,53,53,0.227319,0.327292,0.00006805,0.140351,0.855263,0.131579
9,10,53,0.221639,0.221468,0.00005647,0.301453,0.905702,0.418681
9,20,53,0.223054,0.237606,0.00005647,0.305414,0.893640,0.396838
9,30,53,0.220812,0.226869,0.00005647,0.304908,0.902412,0.374311
9,40,53,0.219313,0.219130,0.00005647,0.315724,0.911184,0.401289
9,50,53,0.220477,0.237537,0.00005647,0.351989,0.900219,0.441544
9,53,53,0.221890,0.285239,0.00005647,0.105263,0.868421,0.157895
10,10,53,0.214666,0.192939,0.00004453,0.398243,0.925439,0.484940
10,20,53,0.216809,0.255840,0.00004453,0.300219,0.891447,0.404664
10,30,53,0.218888,0.213580,0.00004453,0.303825,0.914474,0.397734
10,40,53,0.218726,0.226316,0.00004453,0.310584,0.898026,0.397850
10,50,53,0.218566,0.194301,0.00004453,0.324422,0.919956,0.420974
10,53,53,0.219531,0.248630,0.00004453,0.026316,0.881579,0.052632
11,10,53,0.208842,0.204795,0.00003295,0.340810,0.921053,0.431505
11,20,53,0.213338,0.224694,0.00003295,0.327321,0.898026,0.407904
11,30,53,0.214892,0.224313,0.00003295,0.377319,0.903509,0.455696
11,40,53,0.214643,0.231306,0.00003295,0.357174,0.900219,0.438659
11,50,53,0.212134,0.217876,0.00003295,0.385203,0.914474,0.454977
11,53,53,0.213845,0.287168,0.00003295,0.140351,0.881579,0.157895
12,10,53,0.219925,0.215975,0.00002238,0.415821,0.916667,0.469793
12,20,53,0.210364,0.176974,0.00002238,0.339548,0.923246,0.381224
12,30,53,0.213320,0.207798,0.00002238,0.364170,0.914474,0.476287
12,40,53,0.214140,0.209819,0.00002238,0.355602,0.910088,0.400159
12,50,53,0.213318,0.216708,0.00002238,0.365671,0.903509,0.438887
12,53,53,0.213217,0.240980,0.00002238,0.131579,0.881579,0.210526
13,10,53,0.214453,0.206052,0.00001345,0.356708,0.906798,0.445474
13,20,53,0.211438,0.219707,0.00001345,0.340136,0.912281,0.447176
13,30,53,0.209026,0.188433,0.00001345,0.367971,0.921053,0.402112
13,40,53,0.212167,0.212578,0.00001345,0.337933,0.908991,0.402049
13,50,53,0.212779,0.218253,0.00001345,0.343880,0.899123,0.478688
13,53,53,0.213635,0.246794,0.00001345,0.217544,0.921053,0.263158
14,10,53,0.205680,0.201598,0.00000667,0.337657,0.907895,0.441929
14,20,53,0.206972,0.175472,0.00000667,0.415862,0.930921,0.465148
14,30,53,0.210700,0.195663,0.00000667,0.366342,0.917763,0.433068
14,40,53,0.210317,0.190857,0.00000667,0.350056,0.922149,0.378533
14,50,53,0.208921,0.203072,0.00000667,0.367922,0.913377,0.512949
14,53,53,0.210037,0.262985,0.00000667,0.105263,0.881579,0.105263
15,10,53,0.202563,0.199070,0.00000244,0.311262,0.913377,0.411162
15,20,53,0.208805,0.212151,0.00000244,0.359316,0.907895,0.471815
