epoch,true_class,pred_class,value
1,Urban fabric,Urban fabric,0.420792
1,Urban fabric,Industrial or commercial units,0.039604
1,Urban fabric,Arable land,0.49505
1,Urban fabric,Permanent crops,0.816832
1,Urban fabric,Pastures,0.113861
1,Urban fabric,Complex cultivation patterns,0.183168
1,Urban fabric,Land principally occupied by agriculture,0.430693
1,Urban fabric,Agro-forestry areas,0.217822
1,Urban fabric,Broad-leaved forest,0.039604
1,Urban fabric,Coniferous forest,0.014851
1,Urban fabric,Mixed forest,0.475248
1,Urban fabric,Natural grassland and sparsely vegetated areas,0.0
1,Urban fabric,"Moors, heathland and sclerophyllous vegetation",0.227723
1,Urban fabric,"Transitional woodland, shrub",0.836634
1,Urban fabric,"Beaches, dunes, sands",0.158416
1,Urban fabric,Inland wetlands,0.064356
1,Urban fabric,Coastal wetlands,0.381188
1,Urban fabric,Inland waters,0.222772
1,Urban fabric,Marine waters,0.019802
1,Industrial or commercial units,Urban fabric,0.391304
1,Industrial or commercial units,Industrial or commercial units,0.086957
1,Industrial or commercial units,Arable land,0.5
1,Industrial or commercial units,Permanent crops,0.913043
1,Industrial or commercial units,Pastures,0.173913
1,Industrial or commercial units,Complex cultivation patterns,0.304348
1,Industrial or commercial units,Land principally occupied by agriculture,0.586957
1,Industrial or commercial units,Agro-forestry areas,0.369565
1,Industrial or commercial units,Broad-leaved forest,0.043478
1,Industrial or commercial units,Coniferous forest,0.065217
1,Industrial or commercial units,Mixed forest,0.326087
1,Industrial or commercial units,Natural grassland and sparsely vegetated areas,0.0
1,Industrial or commercial units,"Moors, heathland and sclerophyllous vegetation",0.217391
1,Industrial or commercial units,"Transitional woodland, shrub",0.804348
1,Industrial or commercial units,"Beaches, dunes, sands",0.326087
1,Industrial or commercial units,Inland wetlands,0.086957
1,Industrial or commercial units,Coastal wetlands,0.413043
1,Industrial or commercial units,Inland waters,0.26087
1,Industrial or commercial units,Marine waters,0.021739
1,Arable land,Urban fabric,0.362637
1,Arable land,Industrial or commercial units,0.012559
1,Arable land,Arable land,0.44427
1,Arable land,Permanent crops,0.78022
1,Arable land,Pastures,0.100471
1,Arable land,Complex cultivation patterns,0.177394
1,Arable land,Land principally occupied by agriculture,0.403454
1,Arable land,Agro-forestry areas,0.257457
1,Arable land,Broad-leaved forest,0.043956
1,Arable land,Coniferous forest,0.028257
1,Arable land,Mixed forest,0.431711
1,Arable land,Natural grassland and sparsely vegetated areas,0.0
1,Arable land,"Moors, heathland and sclerophyllous vegetation",0.193093
1,Arable land,"Transitional woodland, shrub",0.813187
1,Arable land,"Beaches, dunes, sands",0.141287
1,Arable land,Inland wetlands,0.103611
1,Arable land,Coastal wetlands,0.503925
1,Arable land,Inland waters,0.10675
1,Arable land,Marine waters,0.007849
1,Permanent crops,Urban fabric,0.336283
1,Permanent crops,Industrial or commercial units,0.017699
1,Permanent crops,Arable land,0.371681
1,Permanent crops,Permanent crops,0.79646
1,Permanent crops,Pastures,0.053097
1,Permanent crops,Complex cultivation patterns,0.106195
1,Permanent crops,Land principally occupied by agriculture,0.433628
1,Permanent crops,Agro-forestry areas,0.185841
1,Permanent crops,Broad-leaved forest,0.044248
1,Permanent crops,Coniferous forest,0.00885
1,Permanent crops,Mixed forest,0.557522
1,Permanent crops,Natural grassland and sparsely vegetated areas,0.0
1,Permanent crops,"Moors, heathland and sclerophyllous vegetation",0.176991
1,Permanent crops,"Transitional woodland, shrub",0.893805
1,Permanent crops,"Beaches, dunes, sands",0.168142
1,Permanent crops,Inland wetlands,0.097345
1,Permanent crops,Coastal wetlands,0.40708
1,Permanent crops,Inland waters,0.185841
1,Permanent crops,Marine waters,0.00885
1,Pastures,Urban fabric,0.333333
1,Pastures,Industrial or commercial units,0.0
1,Pastures,Arable land,0.458746
1,Pastures,Permanent crops,0.745875
1,Pastures,Pastures,0.089109
1,Pastures,Complex cultivation patterns,0.128713
1,Pastures,Land principally occupied by agriculture,0.405941
1,Pastures,Agro-forestry areas,0.227723
1,Pastures,Broad-leaved forest,0.029703
1,Pastures,Coniferous forest,0.019802
1,Pastures,Mixed forest,0.382838
1,Pastures,Natural grassland and sparsely vegetated areas,0.0
1,Pastures,"Moors, heathland and sclerophyllous vegetation",0.168317
1,Pastures,"Transitional woodland, shrub",0.792079
1,Pastures,"Beaches, dunes, sands",0.069307
1,Pastures,Inland wetlands,0.09571
1,Pastures,Coastal wetlands,0.49505
1,Pastures,Inland waters,0.092409
1,Pastures,Marine waters,0.0
1,Complex cultivation patterns,Urban fabric,0.365132
1,Complex cultivation patterns,Industrial or commercial units,0.013158
1,Complex cultivation patterns,Arable land,0.463816
1,Complex cultivation patterns,Permanent crops,0.717105
1,Complex cultivation patterns,Pastures,0.131579
1,Complex cultivation patterns,Complex cultivation patterns,0.180921
1,Complex cultivation patterns,Land principally occupied by agriculture,0.391447
1,Complex cultivation patterns,Agro-forestry areas,0.269737
1,Complex cultivation patterns,Broad-leaved forest,0.036184
1,Complex cultivation patterns,Coniferous forest,0.009868
1,Complex cultivation patterns,Mixed forest,0.447368
1,Complex cultivation patterns,Natural grassland and sparsely vegetated areas,0.0
1,Complex cultivation patterns,"Moors, heathland and sclerophyllous vegetation",0.180921
1,Complex cultivation patterns,"Transitional woodland, shrub",0.799342
1,Complex cultivation patterns,"Beaches, dunes, sands",0.125
1,Complex cultivation patterns,Inland wetlands,0.088816
1,Complex cultivation patterns,Coastal wetlands,0.447368
1,Complex cultivation patterns,Inland waters,0.131579
1,Complex cultivation patterns,Marine waters,0.006579
1,Land principally occupied by agriculture,Urban fabric,0.0
1,Land principally occupied by agriculture,Industrial or commercial units,0.0
1,Land principally occupied by agriculture,Arable land,0.0
1,Land principally occupied by agriculture,Permanent crops,0.0
1,Land principally occupied by agriculture,Pastures,0.0
1,Land principally occupied by agriculture,Complex cultivation patterns,0.0
1,Land principally occupied by agriculture,Land principally occupied by agriculture,0.0
