epoch,train_loss,val_loss,train_f1,val_f1,train_acc,val_acc,val_prec,val_rec,epoch_time_s
1,0.687384,0.674731,0.174621,0.158903,0.534274,0.670912,0.184598,0.279984,35.29
2,0.598395,0.540735,0.044203,0.003951,0.829242,0.855719,0.045372,0.002066,35.47
3,0.415217,0.350121,0.020293,0.037434,0.864126,0.863544,0.035185,0.03999,37.75
4,0.298375,0.292358,0.127787,0.145432,0.880147,0.879263,0.286052,0.125268,37.6
5,0.26214,0.272132,0.189172,0.206296,0.891642,0.883439,0.34152,0.177784,36.79
6,0.242611,0.262875,0.241159,0.253366,0.897347,0.890421,0.353032,0.206139,37.77
7,0.237734,0.241658,0.282633,0.29377,0.900674,0.897404,0.438519,0.241283,37.15
8,0.227319,0.236978,0.307436,0.324723,0.904505,0.899509,0.438612,0.270869,37.79
9,0.22189,0.24172,0.32816,0.323511,0.907368,0.896561,0.434925,0.279076,37.12
10,0.219531,0.230807,0.345551,0.34836,0.908253,0.903193,0.443822,0.29561,37.41
11,0.213845,0.229363,0.35427,0.345711,0.910611,0.902456,0.441158,0.291807,37.26
12,0.213217,0.228781,0.358178,0.347884,0.912021,0.902246,0.43806,0.297161,37.42
13,0.213635,0.226813,0.357482,0.353231,0.911137,0.904211,0.443155,0.301924,37.25
14,0.210037,0.224642,0.362418,0.36059,0.912442,0.90593,0.443357,0.310679,37.26
15,0.208196,0.225828,0.359266,0.35374,0.912253,0.904211,0.440835,0.302873,37.21
