epoch,batch,n_batches,running_loss,batch_loss,lr,batch_f1,batch_acc,batch_prec
1,1,53,0.776144,0.776144,0.00001000,0.169284,0.456140,0.131347
1,2,53,0.778739,0.781333,0.00001000,0.171942,0.466009,0.137522
1,3,53,0.764436,0.735832,0.00001000,0.191258,0.507675,0.150388
1,4,53,0.746575,0.692989,0.00001000,0.180115,0.560307,0.142977
1,5,53,0.726532,0.646362,0.00001000,0.145762,0.614035,0.117892
1,6,53,0.710679,0.631412,0.00001000,0.171389,0.640351,0.158471
1,7,53,0.691410,0.575800,0.00001000,0.196290,0.708333,0.174469
1,8,53,0.672493,0.540071,0.00001000,0.194038,0.740132,0.173046
1,9,53,0.656112,0.525061,0.00001000,0.178562,0.753289,0.154942
1,10,53,0.640223,0.497225,0.00001000,0.167145,0.777412,0.149383
1,11,53,0.625373,0.476874,0.00001000,0.172125,0.802632,0.210050
1,12,53,0.611784,0.462300,0.00001000,0.132544,0.817982,0.158004
1,13,53,0.598089,0.433758,0.00001000,0.110649,0.828947,0.165831
1,14,53,0.585439,0.420986,0.00001000,0.087675,0.837719,0.106171
1,15,53,0.571926,0.382747,0.00001000,0.100248,0.868421,0.163596
1,16,53,0.560015,0.381339,0.00001000,0.108400,0.866228,0.132362
1,17,53,0.551528,0.415743,0.00001000,0.066843,0.830044,0.139724
1,18,53,0.542516,0.389305,0.00001000,0.069591,0.847588,0.092216
1,19,53,0.533062,0.362895,0.00001000,0.107048,0.860746,0.234649
1,20,53,0.524143,0.354691,0.00001000,0.049317,0.856360,0.117746
1,21,53,0.517276,0.379939,0.00001000,0.061734,0.846491,0.198830
1,22,53,0.508456,0.323233,0.00001000,0.056124,0.877193,0.115385
1,23,53,0.501992,0.359780,0.00001000,0.057410,0.843202,0.104971
1,24,53,0.495268,0.340616,0.00001000,0.056468,0.867325,0.077193
1,25,53,0.489697,0.355983,0.00001000,0.068083,0.846491,0.128947
1,26,53,0.482936,0.313909,0.00001000,0.091394,0.879386,0.218016
1,27,53,0.476448,0.307776,0.00001000,0.098122,0.881579,0.184962
1,28,53,0.470542,0.311076,0.00001000,0.075649,0.873904,0.104010
1,29,53,0.465197,0.315520,0.00001000,0.084310,0.861842,0.133603
1,30,53,0.459386,0.290876,0.00001000,0.094983,0.887061,0.139098
1,31,53,0.454780,0.316608,0.00001000,0.112762,0.871710,0.149697
1,32,53,0.450772,0.326506,0.00001000,0.096820,0.869518,0.156579
1,33,53,0.446693,0.316171,0.00001000,0.139407,0.867325,0.284609
1,34,53,0.442827,0.315245,0.00001000,0.128684,0.870614,0.227820
1,35,53,0.438671,0.297383,0.00001000,0.128079,0.876097,0.196188
1,36,53,0.434450,0.286712,0.00001000,0.137761,0.884868,0.160234
1,37,53,0.430785,0.298857,0.00001000,0.154971,0.887061,0.229043
1,38,53,0.427387,0.301633,0.00001000,0.137299,0.873904,0.200889
1,39,53,0.423857,0.289747,0.00001000,0.129623,0.865132,0.234426
1,40,53,0.419924,0.266522,0.00001000,0.121705,0.890351,0.235088
1,41,53,0.416981,0.299270,0.00001000,0.152847,0.872807,0.245029
1,42,53,0.414023,0.292722,0.00001000,0.133161,0.875000,0.179757
1,43,53,0.411361,0.299554,0.00001000,0.154272,0.871710,0.214787
1,44,53,0.409615,0.334536,0.00001000,0.125826,0.859649,0.189744
1,45,53,0.406435,0.266544,0.00001000,0.156204,0.887061,0.221241
1,46,53,0.404462,0.315644,0.00001000,0.139582,0.859649,0.225146
1,47,53,0.402130,0.294874,0.00001000,0.143369,0.877193,0.171115
1,48,53,0.399949,0.297454,0.00001000,0.148812,0.859649,0.206391
1,49,53,0.398505,0.329169,0.00001000,0.107447,0.853070,0.152694
1,50,53,0.396180,0.282250,0.00001000,0.210693,0.879386,0.308001
1,51,53,0.393200,0.244225,0.00001000,0.205694,0.900219,0.342982
1,52,53,0.391669,0.313588,0.00001000,0.174551,0.868421,0.328414
1,53,53,0.389507,0.277079,0.00001000,0.131579,0.842105,0.210526
2,1,53,0.323524,0.323524,0.00010000,0.140022,0.850877,0.172601
2,2,53,0.306847,0.290171,0.00010000,0.135705,0.869518,0.127485
2,3,53,0.304095,0.298592,0.00010000,0.205317,0.871711,0.253970
2,4,53,0.300444,0.289491,0.00010000,0.177498,0.885965,0.284454
2,5,53,0.297910,0.287773,0.00010000,0.119955,0.883772,0.268854
2,6,53,0.292381,0.264738,0.00010000,0.182111,0.894737,0.263743
2,7,53,0.297908,0.331069,0.00010000,0.153271,0.845395,0.219934
2,8,53,0.295909,0.281914,0.00010000,0.191829,0.884868,0.302924
2,9,53,0.293686,0.275902,0.00010000,0.205664,0.892544,0.243369
2,10,53,0.288529,0.242115,0.00010000,0.220113,0.896930,0.246084
2,11,53,0.289435,0.298495,0.00010000,0.229923,0.864035,0.341294
2,12,53,0.289253,0.287251,0.00010000,0.269243,0.876096,0.396343
2,13,53,0.286472,0.253100,0.00010000,0.255867,0.868421,0.310927
2,14,53,0.285953,0.279215,0.00010000,0.261905,0.869518,0.349634
2,15,53,0.284186,0.259447,0.00010000,0.295814,0.894737,0.375458
2,16,53,0.281786,0.245784,0.00010000,0.195488,0.883772,0.280702
2,17,53,0.280688,0.263118,0.00010000,0.232070,0.881579,0.443412
2,18,53,0.278900,0.248495,0.00010000,0.230680,0.890351,0.321332
2,19,53,0.277462,0.251586,0.00010000,0.250471,0.899123,0.357197
2,20,53,0.276271,0.253634,0.00010000,0.204692,0.889254,0.216251
2,21,53,0.276358,0.278100,0.00010000,0.248810,0.877193,0.381216
2,22,53,0.275441,0.256197,0.00010000,0.213796,0.893640,0.300334
2,23,53,0.273215,0.224237,0.00010000,0.246456,0.899123,0.356892
2,24,53,0.272886,0.265307,0.00010000,0.234774,0.878289,0.298026
2,25,53,0.272788,0.270454,0.00010000,0.225087,0.872807,0.308254
2,26,53,0.271058,0.227797,0.00010000,0.315907,0.895833,0.348977
2,27,53,0.270210,0.248164,0.00010000,0.254419,0.890351,0.302986
2,28,53,0.270700,0.283927,0.00010000,0.250072,0.876096,0.423753
2,29,53,0.269253,0.228749,0.00010000,0.273119,0.899123,0.377948
2,30,53,0.270517,0.307174,0.00010000,0.272009,0.864035,0.348246
2,31,53,0.269170,0.228738,0.00010000,0.270888,0.902412,0.301186
2,32,53,0.268881,0.259939,0.00010000,0.346867,0.896930,0.406391
2,33,53,0.268180,0.245728,0.00010000,0.325585,0.893640,0.359204
2,34,53,0.268414,0.276145,0.00010000,0.308950,0.891447,0.433272
2,35,53,0.268024,0.254770,0.00010000,0.251969,0.892544,0.390038
2,36,53,0.266951,0.229405,0.00010000,0.278816,0.906798,0.440074
2,37,53,0.266410,0.246916,0.00010000,0.265660,0.885965,0.353345
2,38,53,0.266050,0.252732,0.00010000,0.245606,0.896930,0.288471
2,39,53,0.264919,0.221956,0.00010000,0.232443,0.902412,0.358803
2,40,53,0.263411,0.204589,0.00010000,0.284659,0.918860,0.338192
2,41,53,0.262605,0.230353,0.00010000,0.286696,0.895833,0.364007
2,42,53,0.262149,0.243455,0.00010000,0.277754,0.885965,0.434211
2,43,53,0.261595,0.238354,0.00010000,0.244933,0.889254,0.327820
2,44,53,0.261109,0.240213,0.00010000,0.217358,0.889254,0.357895
2,45,53,0.260708,0.243060,0.00010000,0.292058,0.902412,0.384503
2,46,53,0.259645,0.211796,0.00010000,0.283669,0.912281,0.418032
2,47,53,0.258468,0.204314,0.00010000,0.311935,0.914474,0.396708
2,48,53,0.258334,0.252060,0.00010000,0.278015,0.883772,0.337897
2,49,53,0.257544,0.219608,0.00010000,0.321342,0.894737,0.363181
2,50,53,0.257319,0.246318,0.00010000,0.329325,0.903509,0.423966
2,51,53,0.256288,0.204716,0.00010000,0.331877,0.912281,0.419006
2,52,53,0.255664,0.223854,0.00010000,0.245595,0.891447,0.363040
2,53,53,0.255486,0.246232,0.00010000,0.122807,0.868421,0.131579
3,1,53,0.293231,0.293231,0.00009876,0.238834,0.875000,0.396053
3,2,53,0.270404,0.247578,0.00009876,0.221780,0.890351,0.392857
3,3,53,0.262418,0.246446,0.00009876,0.269757,0.893640,0.384962
3,4,53,0.252609,0.223182,0.00009876,0.359737,0.905702,0.530444
3,5,53,0.246321,0.221168,0.00009876,0.281023,0.898026,0.349761
3,6,53,0.252077,0.280854,0.00009876,0.322865,0.872807,0.418853
3,7,53,0.252139,0.252510,0.00009876,0.368412,0.889254,0.428188
3,8,53,0.251866,0.249960,0.00009876,0.355629,0.884868,0.496776
3,9,53,0.245536,0.194897,0.00009876,0.343014,0.910088,0.432581
3,10,53,0.242634,0.216509,0.00009876,0.321951,0.905702,0.395386
3,11,53,0.239323,0.206219,0.00009876,0.318551,0.907895,0.436244
3,12,53,0.241749,0.268438,0.00009876,0.294612,0.890351,0.386998
3,13,53,0.244818,0.281645,0.00009876,0.263458,0.870614,0.344812
3,14,53,0.245116,0.248983,0.00009876,0.301943,0.904605,0.402532
3,15,53,0.242199,0.201364,0.00009876,0.291518,0.919956,0.382226
3,16,53,0.244821,0.284147,0.00009876,0.318115,0.887061,0.419508
3,17,53,0.242109,0.198714,0.00009876,0.319452,0.911184,0.350996
3,18,53,0.240289,0.209350,0.00009876,0.335711,0.908991,0.391479
3,19,53,0.239154,0.218731,0.00009876,0.304764,0.910088,0.342047
3,20,53,0.238898,0.234028,0.00009876,0.352320,0.908991,0.411542
3,21,53,0.237669,0.213099,0.00009876,0.288453,0.903509,0.344774
3,22,53,0.237428,0.232352,0.00009876,0.329878,0.900219,0.452753
3,23,53,0.236911,0.225552,0.00009876,0.318745,0.899123,0.451065
3,24,53,0.237225,0.244436,0.00009876,0.366694,0.892544,0.521392
