epoch,train_loss,val_loss,train_f1,val_f1,train_acc,val_acc,val_prec,val_rec,epoch_time_s
1,0.389507,0.289724,0.163128,0.156326,0.817832,0.87414,0.340597,0.134487,38.88
2,0.255486,0.25885,0.276696,0.258022,0.888484,0.887053,0.467186,0.207139,37.56
3,0.226783,0.234471,0.370422,0.40854,0.904232,0.896,0.483941,0.395785,38.07
4,0.200049,0.220225,0.442327,0.405434,0.914779,0.907404,0.561481,0.350986,39.22
5,0.183313,0.206398,0.505471,0.477203,0.922842,0.911263,0.691815,0.43654,38.94
6,0.165881,0.205819,0.563905,0.494207,0.929958,0.913018,0.611645,0.454563,40.65
7,0.158736,0.205201,0.627732,0.510665,0.934568,0.915158,0.669596,0.469598,41.1
8,0.134157,0.209252,0.683924,0.53681,0.944295,0.914035,0.625426,0.499643,39.27
9,0.120275,0.220261,0.735181,0.523049,0.950526,0.912877,0.647696,0.469407,40.81
10,0.104818,0.219828,0.763806,0.552242,0.958169,0.914105,0.636991,0.509291,39.33
11,0.093154,0.224822,0.798261,0.53916,0.963937,0.914316,0.631255,0.492078,39.29
12,0.080085,0.229244,0.808014,0.537333,0.969621,0.914842,0.637028,0.485531,38.95
13,0.074344,0.232198,0.833201,0.54589,0.972358,0.915123,0.632444,0.501419,39.14
14,0.069036,0.233034,0.840238,0.5376,0.974484,0.915298,0.644037,0.486,38.62
15,0.064318,0.233395,0.845885,0.544205,0.977326,0.914316,0.64032,0.498651,38.62
