epoch,batch,n_batches,running_loss,batch_loss,lr,batch_f1,batch_acc,batch_prec
1,5,53,1.201398,1.184866,0.00001000,0.144338,0.391447,0.128526
1,10,53,1.157376,1.089935,0.00001000,0.145665,0.418860,0.107168
1,15,53,1.103532,0.967955,0.00001000,0.143690,0.438596,0.111598
1,20,53,1.058492,0.920028,0.00001000,0.133354,0.458333,0.125006
1,25,53,1.015114,0.800338,0.00001000,0.171118,0.530702,0.147378
1,30,53,0.976496,0.760046,0.00001000,0.126633,0.558114,0.127596
1,35,53,0.937612,0.653887,0.00001000,0.155261,0.639254,0.167460
1,40,53,0.900502,0.612354,0.00001000,0.146517,0.682018,0.179964
1,45,53,0.865976,0.577321,0.00001000,0.127486,0.708333,0.127479
1,50,53,0.833877,0.532893,0.00001000,0.152489,0.760965,0.208199
1,53,53,0.816657,0.539237,0.00001000,0.087719,0.723684,0.131579
2,5,53,0.407716,0.366794,0.00010000,0.090609,0.856360,0.151003
2,10,53,0.374732,0.331963,0.00010000,0.125886,0.865132,0.198830
2,15,53,0.363546,0.329082,0.00010000,0.127804,0.849781,0.158647
2,20,53,0.348669,0.290512,0.00010000,0.184614,0.878289,0.274436
2,25,53,0.337087,0.294496,0.00010000,0.213729,0.868421,0.290829
2,30,53,0.330393,0.340243,0.00010000,0.122292,0.832237,0.180212
2,35,53,0.323793,0.298781,0.00010000,0.135182,0.865132,0.141319
2,40,53,0.315932,0.237747,0.00010000,0.203692,0.906798,0.266253
2,45,53,0.310963,0.287364,0.00010000,0.226906,0.880482,0.278095
2,50,53,0.305624,0.268020,0.00010000,0.191230,0.880482,0.237813
2,53,53,0.304148,0.352648,0.00010000,0.114035,0.868421,0.105263
3,5,53,0.263277,0.243434,0.00005050,0.202964,0.888158,0.290351
3,10,53,0.265709,0.241390,0.00005050,0.256395,0.903509,0.341078
3,15,53,0.264676,0.232699,0.00005050,0.221064,0.894737,0.341103
3,20,53,0.261699,0.231698,0.00005050,0.256196,0.902412,0.371398
3,25,53,0.261354,0.260987,0.00005050,0.245197,0.893640,0.333478
3,30,53,0.260363,0.264439,0.00005050,0.239889,0.881579,0.319081
3,35,53,0.260871,0.207024,0.00005050,0.287477,0.913377,0.330911
3,40,53,0.260257,0.225881,0.00005050,0.253892,0.908991,0.359729
3,45,53,0.259617,0.219513,0.00005050,0.255093,0.901316,0.318232
3,50,53,0.258624,0.260829,0.00005050,0.283915,0.881579,0.402861
3,53,53,0.257566,0.228355,0.00005050,0.163158,0.894737,0.149123
