epoch,batch,n_batches,running_loss,batch_loss,lr,batch_f1,batch_acc,batch_prec
1,10,53,0.579881,0.459084,0.00001000,0.071108,0.826206,0.147214
1,20,53,0.485337,0.347365,0.00001000,0.055012,0.862390,0.149123
1,30,53,0.434710,0.294398,0.00001000,0.082474,0.867873,0.183239
1,40,53,0.402056,0.303133,0.00001000,0.128645,0.873355,0.202789
1,50,53,0.382742,0.318263,0.00001000,0.131091,0.857456,0.220018
1,53,53,0.377323,0.305116,0.00001000,0.138596,0.868421,0.166667
2,10,53,0.281978,0.268942,0.00005500,0.251254,0.884320,0.383160
2,20,53,0.268761,0.265338,0.00005500,0.258083,0.888158,0.402254
2,30,53,0.261525,0.254903,0.00005500,0.234730,0.887061,0.288643
2,40,53,0.257776,0.227185,0.00005500,0.295344,0.898026,0.345892
2,50,53,0.255936,0.248423,0.00005500,0.357298,0.898026,0.523516
2,53,53,0.253102,0.136492,0.00005500,0.228070,0.947368,0.263158
3,10,53,0.228763,0.226038,0.00010000,0.353621,0.909540,0.407041
3,20,53,0.224067,0.208054,0.00010000,0.403694,0.917215,0.514895
3,30,53,0.224736,0.223379,0.00010000,0.370825,0.906798,0.425768
3,40,53,0.224636,0.225067,0.00010000,0.342655,0.906250,0.455341
3,50,53,0.223065,0.230632,0.00010000,0.380727,0.901316,0.493246
3,53,53,0.223520,0.278192,0.00010000,0.264035,0.888158,0.337719
4,10,53,0.217916,0.205959,0.00009856,0.432777,0.913925,0.550220
4,20,53,0.209861,0.199611,0.00009856,0.440606,0.921053,0.538300
4,30,53,0.209586,0.195651,0.00009856,0.377669,0.919408,0.440570
4,40,53,0.205254,0.177223,0.00009856,0.423037,0.916667,0.542231
4,50,53,0.203951,0.235371,0.00009856,0.422198,0.900219,0.485142
4,53,53,0.202284,0.161421,0.00009856,0.287719,0.940789,0.298246
5,10,53,0.187003,0.180421,0.00009433,0.490034,0.928180,0.604283
5,20,53,0.182264,0.166123,0.00009433,0.506172,0.928180,0.590553
5,30,53,0.182414,0.199983,0.00009433,0.483124,0.912829,0.613400
5,40,53,0.180220,0.173559,0.00009433,0.467431,0.922149,0.589669
5,50,53,0.179414,0.187346,0.00009433,0.501327,0.925439,0.608728
5,53,53,0.180704,0.207682,0.00009433,0.284461,0.907895,0.324561
6,10,53,0.170240,0.166679,0.00008755,0.546758,0.927632,0.639869
6,20,53,0.172979,0.188856,0.00008755,0.509104,0.919408,0.609655
6,30,53,0.170267,0.164875,0.00008755,0.538590,0.933114,0.664467
6,40,53,0.170614,0.180205,0.00008755,0.443927,0.925439,0.505982
6,50,53,0.168555,0.172259,0.00008755,0.523419,0.925439,0.615540
6,53,53,0.167020,0.099096,0.00008755,0.329323,0.960526,0.350877
7,10,53,0.152684,0.144457,0.00007862,0.609562,0.940790,0.637924
7,20,53,0.152181,0.165916,0.00007862,0.554384,0.932018,0.686682
7,30,53,0.151729,0.144962,0.00007862,0.573476,0.941338,0.674187
7,40,53,0.152571,0.143944,0.00007862,0.587061,0.936952,0.726175
7,50,53,0.153487,0.158267,0.00007862,0.568745,0.935307,0.664368
7,53,53,0.152905,0.125066,0.00007862,0.424561,0.940790,0.447368
8,10,53,0.133897,0.128063,0.00006805,0.584689,0.940241,0.678702
8,20,53,0.134417,0.153410,0.00006805,0.559662,0.936952,0.639201
8,30,53,0.135268,0.144798,0.00006805,0.551242,0.938048,0.589724
8,40,53,0.136348,0.156661,0.00006805,0.714968,0.938597,0.791868
8,50,53,0.136948,0.169619,0.00006805,0.531722,0.925987,0.587746
8,53,53,0.137687,0.181962,0.00006805,0.344167,0.901316,0.369298
9,10,53,0.121894,0.127363,0.00005647,0.634444,0.940789,0.741324
9,20,53,0.118796,0.115046,0.00005647,0.598980,0.955044,0.630168
9,30,53,0.118899,0.120390,0.00005647,0.636646,0.953399,0.713694
9,40,53,0.118969,0.104605,0.00005647,0.671367,0.956689,0.702505
9,50,53,0.119414,0.107333,0.00005647,0.659267,0.957237,0.691476
9,53,53,0.119400,0.090845,0.00005647,0.373977,0.960526,0.392982
10,10,53,0.108152,0.112634,0.00004453,0.611850,0.956140,0.711506
10,20,53,0.109335,0.094529,0.00004453,0.712350,0.963816,0.749171
10,30,53,0.108191,0.107099,0.00004453,0.751429,0.956689,0.801690
10,40,53,0.107072,0.104489,0.00004453,0.683490,0.955592,0.740444
10,50,53,0.106196,0.105592,0.00004453,0.725124,0.951754,0.791672
10,53,53,0.105084,0.060082,0.00004453,0.438597,0.980263,0.447368
11,10,53,0.090378,0.088090,0.00003295,0.660361,0.968750,0.679734
11,20,53,0.090929,0.092339,0.00003295,0.669990,0.957237,0.704653
11,30,53,0.093090,0.088138,0.00003295,0.720174,0.969298,0.806516
11,40,53,0.091286,0.081198,0.00003295,0.795428,0.965461,0.816452
11,50,53,0.091439,0.075084,0.00003295,0.789875,0.971491,0.818912
11,53,53,0.091457,0.081866,0.00003295,0.463158,0.973684,0.526316
12,10,53,0.074169,0.071823,0.00002238,0.747494,0.975329,0.779519
12,20,53,0.078906,0.084897,0.00002238,0.689361,0.971491,0.711310
12,30,53,0.079066,0.076519,0.00002238,0.666788,0.972040,0.688632
12,40,53,0.079871,0.080295,0.00002238,0.720045,0.972039,0.742762
12,50,53,0.080065,0.095170,0.00002238,0.722754,0.962171,0.764582
12,53,53,0.079747,0.071233,0.00002238,0.403509,0.980263,0.421053
13,10,53,0.073929,0.066617,0.00001345,0.730201,0.977522,0.813079
13,20,53,0.070292,0.061964,0.00001345,0.777424,0.977522,0.783193
13,30,53,0.069484,0.057567,0.00001345,0.774717,0.981360,0.791762
13,40,53,0.070891,0.062565,0.00001345,0.707730,0.977522,0.739683
13,50,53,0.071533,0.065498,0.00001345,0.759353,0.976974,0.801709
13,53,53,0.072313,0.120807,0.00001345,0.460526,0.940790,0.508772
14,10,53,0.064723,0.058563,0.00000667,0.773504,0.979715,0.794722
14,20,53,0.065526,0.067447,0.00000667,0.695727,0.978070,0.748126
14,30,53,0.065512,0.068824,0.00000667,0.767337,0.974232,0.791846
14,40,53,0.066076,0.050452,0.00000667,0.779167,0.984649,0.819224
14,50,53,0.065777,0.055658,0.00000667,0.837213,0.980811,0.863196
14,53,53,0.065321,0.044659,0.00000667,0.403008,0.986842,0.421053
15,10,53,0.060408,0.060644,0.00000244,0.812972,0.975329,0.827154
