epoch,train_loss,val_loss,train_f1,val_f1,train_acc,val_acc,val_prec,val_rec,epoch_time_s
1,0.28781,0.25131,0.22224,0.2823,0.87142,0.89291,0.42903,0.24644,181.71
2,0.22642,0.2354,0.35193,0.40608,0.90227,0.89968,0.4986,0.37326,207.15
3,0.2064,0.2203,0.42299,0.40877,0.9124,0.90611,0.55949,0.36183,210.95
4,0.19002,0.21414,0.46899,0.44807,0.92006,0.90891,0.54528,0.425,210.51
5,0.17456,0.21189,0.52768,0.47946,0.92661,0.91074,0.56919,0.45643,210.79
6,0.15889,0.2063,0.59738,0.48848,0.93392,0.91509,0.60499,0.44208,211.01
7,0.1432,0.20707,0.65995,0.49707,0.94029,0.91653,0.63417,0.45332,211.28
8,0.12647,0.2232,0.70177,0.53167,0.9474,0.91396,0.64223,0.481,210.67
9,0.11081,0.2212,0.74774,0.52524,0.95449,0.91411,0.65228,0.47658,210.51
10,0.09568,0.22911,0.78795,0.53372,0.96193,0.91544,0.64937,0.49086,211.11
11,0.08203,0.23822,0.82576,0.5291,0.96842,0.91358,0.64081,0.48356,210.98
12,0.07294,0.24153,0.83833,0.53276,0.97262,0.91491,0.64708,0.48347,210.65
13,0.06576,0.24448,0.85333,0.52402,0.97604,0.91351,0.64296,0.48424,210.34
14,0.06106,0.24351,0.86921,0.53022,0.97846,0.91495,0.64275,0.48563,210.68
15,0.05807,0.24394,0.87602,0.53019,0.97984,0.91442,0.64196,0.48428,211.03
