epoch,batch,n_batches,running_loss,batch_loss,lr,batch_f1,batch_acc,batch_prec
1,10,209,0.812221,0.682495,0.00001000,0.119730,0.625000,0.083766
1,20,209,0.684440,0.458573,0.00001000,0.155759,0.804825,0.157881
1,30,209,0.601961,0.443855,0.00001000,0.066608,0.802632,0.100125
1,40,209,0.542056,0.378962,0.00001000,0.152783,0.855263,0.266165
1,50,209,0.506251,0.369767,0.00001000,0.038278,0.842105,0.038278
1,60,209,0.475805,0.344382,0.00001000,0.126318,0.855263,0.190476
1,70,209,0.452570,0.371820,0.00001000,0.096701,0.839912,0.162907
1,80,209,0.436135,0.306563,0.00001000,0.188051,0.883772,0.250000
1,90,209,0.423709,0.283906,0.00001000,0.144452,0.892544,0.228070
1,100,209,0.409185,0.229544,0.00001000,0.134211,0.892544,0.153822
1,110,209,0.396685,0.250844,0.00001000,0.209144,0.899123,0.254323
1,120,209,0.386609,0.330684,0.00001000,0.208852,0.861842,0.252193
1,130,209,0.379484,0.332550,0.00001000,0.154881,0.853070,0.196742
1,140,209,0.373155,0.278848,0.00001000,0.176262,0.866228,0.234085
1,150,209,0.367134,0.285100,0.00001000,0.242301,0.890351,0.308897
1,160,209,0.361597,0.297053,0.00001000,0.192777,0.883772,0.220969
1,170,209,0.356130,0.312373,0.00001000,0.216915,0.850877,0.382456
1,180,209,0.350941,0.248961,0.00001000,0.176305,0.890351,0.191646
1,190,209,0.346760,0.287169,0.00001000,0.309892,0.881579,0.432638
1,200,209,0.342307,0.268671,0.00001000,0.240510,0.881579,0.328947
1,209,209,0.339460,0.357330,0.00001000,0.133584,0.828947,0.152632
2,10,209,0.257339,0.216149,0.00010000,0.272735,0.907895,0.303968
2,20,209,0.258440,0.292926,0.00010000,0.266340,0.877193,0.320460
2,30,209,0.258896,0.245629,0.00010000,0.190938,0.899123,0.275188
2,40,209,0.257543,0.203483,0.00010000,0.373280,0.916667,0.444361
2,50,209,0.253816,0.234541,0.00010000,0.292300,0.896930,0.311910
2,60,209,0.248918,0.242775,0.00010000,0.368512,0.903509,0.478947
2,70,209,0.245159,0.225169,0.00010000,0.309375,0.907895,0.363773
2,80,209,0.243480,0.251285,0.00010000,0.224439,0.883772,0.320217
2,90,209,0.244287,0.234195,0.00010000,0.309966,0.894737,0.387281
2,100,209,0.242525,0.193894,0.00010000,0.232562,0.896930,0.258480
2,110,209,0.241704,0.196271,0.00010000,0.283632,0.914474,0.301754
2,120,209,0.239973,0.197579,0.00010000,0.354219,0.912281,0.445280
2,130,209,0.239666,0.246635,0.00010000,0.278856,0.890351,0.277903
2,140,209,0.239084,0.234262,0.00010000,0.370795,0.890351,0.493734
2,150,209,0.238501,0.181690,0.00010000,0.342536,0.927632,0.362573
2,160,209,0.236488,0.207201,0.00010000,0.361352,0.903509,0.475877
2,170,209,0.235815,0.219469,0.00010000,0.313238,0.907895,0.322807
2,180,209,0.234485,0.233054,0.00010000,0.296282,0.903509,0.410526
2,190,209,0.233728,0.207049,0.00010000,0.398183,0.912281,0.487589
2,200,209,0.232953,0.214797,0.00010000,0.330508,0.903509,0.411404
2,209,209,0.232214,0.169512,0.00010000,0.335840,0.934211,0.342105
3,10,209,0.201546,0.158716,0.00005050,0.359472,0.936403,0.440351
3,20,209,0.201309,0.216498,0.00005050,0.293333,0.901316,0.372515
3,30,209,0.195932,0.199725,0.00005050,0.403077,0.910088,0.491103
3,40,209,0.195817,0.196752,0.00005050,0.441726,0.918860,0.482749
3,50,209,0.195307,0.159228,0.00005050,0.462467,0.934210,0.542544
3,60,209,0.191916,0.166788,0.00005050,0.451492,0.932018,0.512714
3,70,209,0.190900,0.163928,0.00005050,0.479857,0.932018,0.532832
3,80,209,0.190570,0.154896,0.00005050,0.374458,0.934210,0.377694
3,90,209,0.192259,0.170559,0.00005050,0.444490,0.929825,0.484461
3,100,209,0.190974,0.170540,0.00005050,0.507402,0.925439,0.551462
3,110,209,0.190743,0.190321,0.00005050,0.344384,0.910088,0.426688
3,120,209,0.191532,0.213740,0.00005050,0.397329,0.907895,0.386842
3,130,209,0.192495,0.221272,0.00005050,0.394397,0.894737,0.536045
3,140,209,0.191909,0.177456,0.00005050,0.467555,0.921053,0.547368
3,150,209,0.192528,0.185170,0.00005050,0.506636,0.923246,0.547536
3,160,209,0.191475,0.173310,0.00005050,0.370972,0.921053,0.401754
3,170,209,0.191193,0.201272,0.00005050,0.376602,0.914474,0.479000
3,180,209,0.191266,0.183125,0.00005050,0.446178,0.925439,0.510673
3,190,209,0.191265,0.192874,0.00005050,0.365799,0.923246,0.436257
3,200,209,0.191187,0.175753,0.00005050,0.316406,0.918860,0.411278
3,209,209,0.190858,0.216594,0.00005050,0.324812,0.875000,0.368421
