epoch,batch,n_batches,running_loss,batch_loss,lr,batch_f1,batch_acc,batch_prec
1,10,53,0.697856,0.695652,0.00001000,0.185853,0.480811,0.144401
1,20,53,0.695287,0.691400,0.00001000,0.176195,0.530153,0.130753
1,30,53,0.692469,0.684859,0.00001000,0.193666,0.582785,0.138047
1,40,53,0.689764,0.680999,0.00001000,0.168086,0.607456,0.146799
1,50,53,0.687141,0.673780,0.00001000,0.150595,0.680373,0.118057
1,53,53,0.686466,0.678517,0.00001000,0.185464,0.631579,0.172431
2,10,53,0.658827,0.647433,0.00005500,0.099340,0.804276,0.127931
2,20,53,0.643560,0.613511,0.00005500,0.076078,0.858004,0.176113
2,30,53,0.627095,0.575712,0.00005500,0.028509,0.864035,0.083591
2,40,53,0.611478,0.545027,0.00005500,0.015889,0.867873,0.038278
2,50,53,0.595000,0.511157,0.00005500,0.009153,0.858553,0.035088
2,53,53,0.589680,0.492401,0.00005500,0.000000,0.907895,0.000000
3,10,53,0.478137,0.456407,0.00010000,0.003008,0.866776,0.052632
3,20,53,0.453694,0.422290,0.00010000,0.005540,0.856908,0.052632
3,30,53,0.433626,0.365992,0.00010000,0.011080,0.870066,0.052632
3,40,53,0.413551,0.334045,0.00010000,0.068695,0.883772,0.148026
3,50,53,0.398759,0.342145,0.00010000,0.081252,0.869518,0.141551
3,53,53,0.394408,0.316160,0.00010000,0.052632,0.868421,0.070175
4,10,53,0.308637,0.266415,0.00009856,0.108627,0.896930,0.174027
4,20,53,0.305562,0.304169,0.00009856,0.113272,0.873904,0.164327
4,30,53,0.302509,0.274859,0.00009856,0.157512,0.899123,0.176597
4,40,53,0.296624,0.288162,0.00009856,0.163032,0.885965,0.254386
4,50,53,0.292579,0.265985,0.00009856,0.155172,0.898026,0.159384
4,53,53,0.290602,0.252844,0.00009856,0.087719,0.888158,0.078947
5,10,53,0.275026,0.255353,0.00009433,0.165675,0.894189,0.246955
5,20,53,0.267336,0.250379,0.00009433,0.177697,0.895833,0.263009
5,30,53,0.264615,0.285396,0.00009433,0.180847,0.882127,0.247874
5,40,53,0.261059,0.251290,0.00009433,0.170418,0.895285,0.218002
5,50,53,0.259321,0.232555,0.00009433,0.195037,0.899123,0.308714
5,53,53,0.257287,0.176361,0.00009433,0.182456,0.934211,0.184211
6,10,53,0.244380,0.263921,0.00008755,0.210904,0.897478,0.314052
6,20,53,0.240199,0.233836,0.00008755,0.215385,0.895833,0.306505
6,30,53,0.242013,0.272828,0.00008755,0.199266,0.877193,0.306737
6,40,53,0.242334,0.246798,0.00008755,0.253058,0.898575,0.381347
6,50,53,0.242755,0.252906,0.00008755,0.239973,0.888158,0.421004
6,53,53,0.243174,0.261735,0.00008755,0.170175,0.901316,0.201754
7,10,53,0.241207,0.231881,0.00007862,0.303437,0.906250,0.391681
7,20,53,0.237878,0.229155,0.00007862,0.278494,0.904605,0.420704
7,30,53,0.234313,0.218999,0.00007862,0.278951,0.909539,0.429360
7,40,53,0.233806,0.232770,0.00007862,0.288067,0.905154,0.388742
7,50,53,0.231675,0.215120,0.00007862,0.312546,0.912281,0.397841
7,53,53,0.232706,0.310123,0.00007862,0.159900,0.855263,0.245614
8,10,53,0.227110,0.223913,0.00006805,0.318002,0.911184,0.397348
8,20,53,0.224465,0.188383,0.00006805,0.301664,0.919408,0.416704
8,30,53,0.223774,0.255809,0.00006805,0.257964,0.886513,0.359482
8,40,53,0.224942,0.223858,0.00006805,0.302653,0.905154,0.435790
8,50,53,0.223521,0.213961,0.00006805,0.352949,0.917215,0.427862
8,53,53,0.224252,0.249731,0.00006805,0.211779,0.901316,0.236842
9,10,53,0.219159,0.217187,0.00005647,0.326233,0.912281,0.425887
9,20,53,0.219985,0.222248,0.00005647,0.321647,0.910088,0.431662
9,30,53,0.218150,0.196003,0.00005647,0.376182,0.923794,0.464226
9,40,53,0.216675,0.228268,0.00005647,0.294852,0.900768,0.407872
9,50,53,0.217231,0.258519,0.00005647,0.307062,0.896930,0.463986
9,53,53,0.218362,0.275468,0.00005647,0.260067,0.868421,0.342105
10,10,53,0.212215,0.197246,0.00004453,0.362057,0.919956,0.448962
10,20,53,0.211142,0.227906,0.00004453,0.334482,0.902961,0.468443
10,30,53,0.212474,0.227190,0.00004453,0.339800,0.905153,0.449656
10,40,53,0.214337,0.202457,0.00004453,0.347253,0.916667,0.454140
10,50,53,0.213322,0.218576,0.00004453,0.354009,0.908443,0.448195
10,53,53,0.214314,0.248912,0.00004453,0.236842,0.888158,0.280702
11,10,53,0.214520,0.201229,0.00003295,0.369449,0.924890,0.450703
11,20,53,0.212082,0.222699,0.00003295,0.326804,0.911184,0.403191
11,30,53,0.212592,0.189498,0.00003295,0.367691,0.919956,0.465999
11,40,53,0.211498,0.205038,0.00003295,0.375449,0.915022,0.461467
11,50,53,0.210775,0.203474,0.00003295,0.349157,0.906250,0.471606
11,53,53,0.211330,0.212232,0.00003295,0.167920,0.927632,0.210526
12,10,53,0.203741,0.202912,0.00002238,0.363885,0.916118,0.465972
12,20,53,0.206953,0.238635,0.00002238,0.291752,0.888158,0.396323
12,30,53,0.207430,0.205520,0.00002238,0.379229,0.913925,0.465138
12,40,53,0.208984,0.194173,0.00002238,0.352137,0.924342,0.411426
12,50,53,0.209915,0.208554,0.00002238,0.360660,0.914474,0.444450
12,53,53,0.210949,0.285886,0.00002238,0.254386,0.894737,0.342105
13,10,53,0.202089,0.206046,0.00001345,0.376412,0.916118,0.484666
13,20,53,0.205298,0.181407,0.00001345,0.408778,0.929276,0.472464
13,30,53,0.205815,0.213570,0.00001345,0.328393,0.912281,0.407212
13,40,53,0.207227,0.193302,0.00001345,0.362812,0.917763,0.435452
13,50,53,0.207961,0.217847,0.00001345,0.351534,0.904057,0.435842
13,53,53,0.208792,0.274368,0.00001345,0.293233,0.881579,0.315789
14,10,53,0.205558,0.187062,0.00000667,0.367467,0.915570,0.455789
14,20,53,0.205292,0.182765,0.00000667,0.371572,0.930921,0.412996
14,30,53,0.207318,0.207836,0.00000667,0.349009,0.912829,0.411591
14,40,53,0.206740,0.216073,0.00000667,0.341664,0.911732,0.466158
14,50,53,0.206324,0.199188,0.00000667,0.335808,0.917763,0.430915
14,53,53,0.207270,0.247921,0.00000667,0.243860,0.907895,0.271930
15,10,53,0.210246,0.188016,0.00000244,0.352952,0.919408,0.406236
15,20,53,0.210735,0.206499,0.00000244,0.353066,0.915022,0.460937
15,30,53,0.208156,0.205517,0.00000244,0.363745,0.912281,0.460403
15,40,53,0.207205,0.172856,0.00000244,0.366758,0.931469,0.399904
15,50,53,0.206413,0.204697,0.00000244,0.359418,0.917763,0.456020
15,53,53,0.205423,0.161275,0.00000244,0.307018,0.934210,0.315789
