epoch,true_class,pred_class,value
1,Urban fabric,Urban fabric,0.183168
1,Urban fabric,Industrial or commercial units,0.410891
1,Urban fabric,Arable land,0.975248
1,Urban fabric,Permanent crops,0.108911
1,Urban fabric,Pastures,0.673267
1,Urban fabric,Complex cultivation patterns,0.014851
1,Urban fabric,Land principally occupied by agriculture,0.00495
1,Urban fabric,Agro-forestry areas,0.836634
1,Urban fabric,Broad-leaved forest,0.054455
1,Urban fabric,Coniferous forest,0.544554
1,Urban fabric,Mixed forest,0.371287
1,Urban fabric,Natural grassland and sparsely vegetated areas,0.019802
1,Urban fabric,"Moors, heathland and sclerophyllous vegetation",0.133663
1,Urban fabric,"Transitional woodland, shrub",0.584158
1,Urban fabric,"Beaches, dunes, sands",0.049505
1,Urban fabric,Inland wetlands,0.009901
1,Urban fabric,Coastal wetlands,0.0
1,Urban fabric,Inland waters,0.60396
1,Urban fabric,Marine waters,0.158416
1,Industrial or commercial units,Urban fabric,0.217391
1,Industrial or commercial units,Industrial or commercial units,0.456522
1,Industrial or commercial units,Arable land,0.978261
1,Industrial or commercial units,Permanent crops,0.217391
1,Industrial or commercial units,Pastures,0.73913
1,Industrial or commercial units,Complex cultivation patterns,0.0
1,Industrial or commercial units,Land principally occupied by agriculture,0.021739
1,Industrial or commercial units,Agro-forestry areas,0.826087
1,Industrial or commercial units,Broad-leaved forest,0.065217
1,Industrial or commercial units,Coniferous forest,0.565217
1,Industrial or commercial units,Mixed forest,0.434783
1,Industrial or commercial units,Natural grassland and sparsely vegetated areas,0.021739
1,Industrial or commercial units,"Moors, heathland and sclerophyllous vegetation",0.217391
1,Industrial or commercial units,"Transitional woodland, shrub",0.608696
1,Industrial or commercial units,"Beaches, dunes, sands",0.043478
1,Industrial or commercial units,Inland wetlands,0.021739
1,Industrial or commercial units,Coastal wetlands,0.0
1,Industrial or commercial units,Inland waters,0.565217
1,Industrial or commercial units,Marine waters,0.152174
1,Arable land,Urban fabric,0.178964
1,Arable land,Industrial or commercial units,0.538462
1,Arable land,Arable land,0.981162
1,Arable land,Permanent crops,0.056515
1,Arable land,Pastures,0.497645
1,Arable land,Complex cultivation patterns,0.009419
1,Arable land,Land principally occupied by agriculture,0.020408
1,Arable land,Agro-forestry areas,0.77551
1,Arable land,Broad-leaved forest,0.042386
1,Arable land,Coniferous forest,0.5573
1,Arable land,Mixed forest,0.244898
1,Arable land,Natural grassland and sparsely vegetated areas,0.053375
1,Arable land,"Moors, heathland and sclerophyllous vegetation",0.119309
1,Arable land,"Transitional woodland, shrub",0.624804
1,Arable land,"Beaches, dunes, sands",0.021978
1,Arable land,Inland wetlands,0.015699
1,Arable land,Coastal wetlands,0.00314
1,Arable land,Inland waters,0.499215
1,Arable land,Marine waters,0.138148
1,Permanent crops,Urban fabric,0.256637
1,Permanent crops,Industrial or commercial units,0.486726
1,Permanent crops,Arable land,0.946903
1,Permanent crops,Permanent crops,0.035398
1,Permanent crops,Pastures,0.59292
1,Permanent crops,Complex cultivation patterns,0.017699
1,Permanent crops,Land principally occupied by agriculture,0.0
1,Permanent crops,Agro-forestry areas,0.778761
1,Permanent crops,Broad-leaved forest,0.061947
1,Permanent crops,Coniferous forest,0.460177
1,Permanent crops,Mixed forest,0.336283
1,Permanent crops,Natural grassland and sparsely vegetated areas,0.035398
1,Permanent crops,"Moors, heathland and sclerophyllous vegetation",0.176991
1,Permanent crops,"Transitional woodland, shrub",0.663717
1,Permanent crops,"Beaches, dunes, sands",0.00885
1,Permanent crops,Inland wetlands,0.026549
1,Permanent crops,Coastal wetlands,0.017699
1,Permanent crops,Inland waters,0.522124
1,Permanent crops,Marine waters,0.106195
1,Pastures,Urban fabric,0.132013
1,Pastures,Industrial or commercial units,0.547855
1,Pastures,Arable land,0.963696
1,Pastures,Permanent crops,0.019802
1,Pastures,Pastures,0.50495
1,Pastures,Complex cultivation patterns,0.006601
1,Pastures,Land principally occupied by agriculture,0.006601
1,Pastures,Agro-forestry areas,0.706271
1,Pastures,Broad-leaved forest,0.023102
1,Pastures,Coniferous forest,0.607261
1,Pastures,Mixed forest,0.356436
1,Pastures,Natural grassland and sparsely vegetated areas,0.019802
1,Pastures,"Moors, heathland and sclerophyllous vegetation",0.089109
1,Pastures,"Transitional woodland, shrub",0.646865
1,Pastures,"Beaches, dunes, sands",0.019802
1,Pastures,Inland wetlands,0.0033
1,Pastures,Coastal wetlands,0.0
1,Pastures,Inland waters,0.528053
1,Pastures,Marine waters,0.075908
1,Complex cultivation patterns,Urban fabric,0.171053
1,Complex cultivation patterns,Industrial or commercial units,0.5
1,Complex cultivation patterns,Arable land,0.960526
1,Complex cultivation patterns,Permanent crops,0.032895
1,Complex cultivation patterns,Pastures,0.503289
1,Complex cultivation patterns,Complex cultivation patterns,0.013158
1,Complex cultivation patterns,Land principally occupied by agriculture,0.009868
1,Complex cultivation patterns,Agro-forestry areas,0.707237
1,Complex cultivation patterns,Broad-leaved forest,0.039474
1,Complex cultivation patterns,Coniferous forest,0.463816
1,Complex cultivation patterns,Mixed forest,0.338816
1,Complex cultivation patterns,Natural grassland and sparsely vegetated areas,0.036184
1,Complex cultivation patterns,"Moors, heathland and sclerophyllous vegetation",0.078947
1,Complex cultivation patterns,"Transitional woodland, shrub",0.592105
1,Complex cultivation patterns,"Beaches, dunes, sands",0.029605
1,Complex cultivation patterns,Inland wetlands,0.006579
1,Complex cultivation patterns,Coastal wetlands,0.003289
1,Complex cultivation patterns,Inland waters,0.460526
1,Complex cultivation patterns,Marine waters,0.095395
1,Land principally occupied by agriculture,Urban fabric,0.0
1,Land principally occupied by agriculture,Industrial or commercial units,0.0
1,Land principally occupied by agriculture,Arable land,0.0
1,Land principally occupied by agriculture,Permanent crops,0.0
1,Land principally occupied by agriculture,Pastures,0.0
1,Land principally occupied by agriculture,Complex cultivation patterns,0.0
1,Land principally occupied by agriculture,Land principally occupied by agriculture,0.0
