epoch,train_loss,val_loss,train_f1,val_f1,train_acc,val_acc,val_prec,val_rec,epoch_time_s
1,0.686466,0.671808,0.190323,0.169346,0.568674,0.698877,0.175348,0.306878,57.9
2,0.58968,0.58246,0.075404,0.015276,0.837642,0.857018,0.056558,0.009122,63.23
3,0.394408,0.331779,0.034264,0.072982,0.866326,0.866842,0.091075,0.061116,65.65
4,0.290602,0.282339,0.136662,0.1531,0.8838,0.882632,0.241116,0.136232,66.42
5,0.257287,0.275783,0.177412,0.175935,0.891442,0.881123,0.290155,0.148262,66.0
6,0.243174,0.250079,0.229388,0.262778,0.897389,0.894526,0.394996,0.219843,66.08
7,0.232706,0.243562,0.280964,0.289845,0.903842,0.899368,0.404293,0.243804,66.21
8,0.224252,0.236692,0.302688,0.315284,0.906874,0.900912,0.448927,0.269439,66.03
9,0.218362,0.233408,0.328493,0.328761,0.909547,0.902737,0.453651,0.275677,65.99
10,0.214314,0.230945,0.346072,0.342805,0.911642,0.903754,0.448937,0.290367,65.72
11,0.21133,0.230464,0.349883,0.349374,0.912242,0.904386,0.43938,0.300051,65.93
12,0.210949,0.226143,0.354376,0.353098,0.913095,0.90593,0.447611,0.299556,66.35
13,0.208792,0.224912,0.359157,0.357392,0.913853,0.906386,0.449318,0.306222,66.09
14,0.20727,0.224403,0.360113,0.35893,0.914074,0.906351,0.446624,0.309149,65.63
15,0.205423,0.224092,0.361634,0.363362,0.913916,0.90607,0.444407,0.315506,65.77
