epoch,batch,n_batches,running_loss,batch_loss,lr,batch_f1,batch_acc,batch_prec
1,5,79,0.645620,0.568750,0.00001000,0.126691,0.735197,0.114594
1,10,79,0.570548,0.458046,0.00001000,0.110377,0.824836,0.208279
1,15,79,0.517221,0.389899,0.00001000,0.055766,0.851151,0.161842
1,20,79,0.477046,0.325978,0.00001000,0.064152,0.867599,0.169298
1,25,79,0.446456,0.322742,0.00001000,0.084208,0.871711,0.211278
1,30,79,0.425327,0.304688,0.00001000,0.094239,0.879112,0.186404
1,35,79,0.408673,0.298833,0.00001000,0.167375,0.870066,0.286094
1,40,79,0.395910,0.311072,0.00001000,0.156039,0.862664,0.254694
1,45,79,0.384273,0.301764,0.00001000,0.140773,0.866776,0.213081
1,50,79,0.373834,0.277269,0.00001000,0.156362,0.885691,0.238684
1,55,79,0.366091,0.271318,0.00001000,0.153830,0.889803,0.234023
1,60,79,0.359932,0.280522,0.00001000,0.157873,0.874178,0.188846
1,65,79,0.354005,0.277430,0.00001000,0.198410,0.883224,0.359817
1,70,79,0.349063,0.269387,0.00001000,0.191825,0.881579,0.263438
1,75,79,0.343937,0.271307,0.00001000,0.196133,0.881579,0.308040
1,79,79,0.340090,0.234871,0.00001000,0.147368,0.907895,0.166667
2,5,79,0.274342,0.251561,0.00010000,0.222169,0.888980,0.335844
2,10,79,0.267814,0.279503,0.00010000,0.267687,0.878289,0.309993
2,15,79,0.270163,0.241107,0.00010000,0.238683,0.898026,0.305471
2,20,79,0.266485,0.258727,0.00010000,0.319619,0.884046,0.376402
2,25,79,0.262146,0.242086,0.00010000,0.299752,0.887336,0.458292
2,30,79,0.261527,0.265843,0.00010000,0.323308,0.901316,0.482435
2,35,79,0.261014,0.256621,0.00010000,0.313054,0.885691,0.351728
2,40,79,0.259172,0.301853,0.00010000,0.269439,0.870888,0.460267
2,45,79,0.255868,0.261989,0.00010000,0.265761,0.887336,0.387321
2,50,79,0.252329,0.222010,0.00010000,0.338069,0.901316,0.356266
2,55,79,0.250462,0.204002,0.00010000,0.318319,0.907895,0.426065
2,60,79,0.248646,0.248349,0.00010000,0.324590,0.891447,0.409608
2,65,79,0.246459,0.203597,0.00010000,0.363217,0.914474,0.470848
2,70,79,0.244909,0.227236,0.00010000,0.360699,0.904605,0.522743
2,75,79,0.244486,0.232004,0.00010000,0.342661,0.897204,0.380157
2,79,79,0.244030,0.242580,0.00010000,0.296491,0.907895,0.342105
3,5,79,0.227081,0.208101,0.00005050,0.296254,0.916941,0.456995
3,10,79,0.214769,0.205790,0.00005050,0.371845,0.915296,0.451485
3,15,79,0.212884,0.215484,0.00005050,0.367561,0.904605,0.445428
3,20,79,0.215176,0.220823,0.00005050,0.366791,0.900493,0.459724
3,25,79,0.213836,0.208705,0.00005050,0.375211,0.905428,0.457011
3,30,79,0.213549,0.186768,0.00005050,0.412983,0.923520,0.455055
3,35,79,0.212235,0.204859,0.00005050,0.384846,0.907072,0.513512
3,40,79,0.211756,0.191400,0.00005050,0.398277,0.923520,0.423976
3,45,79,0.211218,0.198573,0.00005050,0.428710,0.915296,0.532239
3,50,79,0.209796,0.189120,0.00005050,0.395107,0.916941,0.456492
3,55,79,0.209065,0.219871,0.00005050,0.411505,0.916118,0.495376
3,60,79,0.208186,0.180578,0.00005050,0.478023,0.924342,0.553096
3,65,79,0.208775,0.197079,0.00005050,0.387865,0.910362,0.455912
3,70,79,0.208911,0.196121,0.00005050,0.421329,0.922697,0.476585
3,75,79,0.208139,0.168061,0.00005050,0.413038,0.930921,0.510692
3,79,79,0.207615,0.212977,0.00005050,0.200000,0.907895,0.210526
