epoch,train_loss,val_loss,train_f1,val_f1,train_acc,val_acc,val_prec,val_rec,epoch_time_s
1,0.363235,0.287994,0.140307,0.157008,0.841274,0.879579,0.278616,0.130478,52.75
2,0.256257,0.244603,0.27844,0.353271,0.889168,0.893965,0.459545,0.309227,58.98
3,0.225992,0.235673,0.374647,0.412457,0.904958,0.898702,0.524518,0.374247,58.3
4,0.205722,0.223376,0.426364,0.393083,0.911716,0.904526,0.525469,0.342629,59.61
5,0.186181,0.216989,0.492411,0.451846,0.921316,0.907404,0.573465,0.419238,59.43
6,0.169458,0.208653,0.551369,0.49246,0.927916,0.912421,0.613344,0.445276,59.4
7,0.15462,0.213571,0.606382,0.514353,0.93539,0.910035,0.63327,0.486977,59.4
8,0.140824,0.217959,0.677242,0.540294,0.941716,0.914035,0.650089,0.48423,58.7
9,0.126295,0.21154,0.705623,0.550217,0.947747,0.915649,0.631608,0.505685,59.22
10,0.111102,0.215934,0.749397,0.540601,0.955221,0.916526,0.646547,0.496953,58.32
11,0.099653,0.220724,0.761925,0.546901,0.960274,0.915088,0.648,0.49348,58.61
12,0.088972,0.225348,0.800996,0.546605,0.965968,0.914702,0.638867,0.502593,58.76
13,0.080917,0.230505,0.813607,0.530877,0.969916,0.913263,0.628105,0.490283,58.8
14,0.075304,0.229915,0.830151,0.532222,0.972337,0.915018,0.636743,0.48412,58.42
15,0.070639,0.232189,0.830084,0.537547,0.973958,0.913614,0.63673,0.493733,58.51
