epoch,class_name,class_idx,f1,precision,recall
1,Urban fabric,0,0.206009,0.774194,0.118812
1,Industrial or commercial units,1,0.0,0.0,0.0
1,Arable land,2,0.666043,0.824074,0.55887
1,Permanent crops,3,0.0,0.0,0.0
1,Pastures,4,0.137725,0.741935,0.075908
1,Complex cultivation patterns,5,0.19,0.395833,0.125
1,Land principally occupied by agriculture,6,0.0,0.0,0.0
1,Agro-forestry areas,7,0.021505,0.5,0.010989
1,Broad-leaved forest,8,0.120968,0.555556,0.067873
1,Coniferous forest,9,0.552984,0.681682,0.465164
1,Mixed forest,10,0.527094,0.697068,0.423762
1,Natural grassland and sparsely vegetated areas,11,0.0,0.0,0.0
1,"Moors, heathland and sclerophyllous vegetation",12,0.0,0.0,0.0
1,"Transitional woodland, shrub",13,0.17193,0.583333,0.100823
1,"Beaches, dunes, sands",14,0.0,0.0,0.0
1,Inland wetlands,15,0.0,0.0,0.0
1,Coastal wetlands,16,0.0,0.0,0.0
1,Inland waters,17,0.021739,1.0,0.010989
1,Marine waters,18,0.802632,0.917293,0.71345
2,Urban fabric,0,0.421456,0.932203,0.272277
2,Industrial or commercial units,1,0.0,0.0,0.0
2,Arable land,2,0.730216,0.854737,0.637363
2,Permanent crops,3,0.017094,0.25,0.00885
2,Pastures,4,0.423077,0.778761,0.290429
2,Complex cultivation patterns,5,0.483871,0.436508,0.542763
2,Land principally occupied by agriculture,6,0.0,0.0,0.0
2,Agro-forestry areas,7,0.576271,0.593023,0.56044
2,Broad-leaved forest,8,0.418816,0.635945,0.312217
2,Coniferous forest,9,0.693916,0.647163,0.747951
2,Mixed forest,10,0.704225,0.669643,0.742574
2,Natural grassland and sparsely vegetated areas,11,0.0,0.0,0.0
2,"Moors, heathland and sclerophyllous vegetation",12,0.0,0.0,0.0
2,"Transitional woodland, shrub",13,0.590457,0.571154,0.611111
2,"Beaches, dunes, sands",14,0.0,0.0,0.0
2,Inland wetlands,15,0.0,0.0,0.0
2,Coastal wetlands,16,0.0,0.0,0.0
2,Inland waters,17,0.322034,0.703704,0.208791
2,Marine waters,18,0.846667,0.984496,0.74269
3,Urban fabric,0,0.603248,0.567686,0.643564
3,Industrial or commercial units,1,0.4,0.857143,0.26087
3,Arable land,2,0.780776,0.843352,0.726845
3,Permanent crops,3,0.359281,0.555556,0.265487
3,Pastures,4,0.5952,0.57764,0.613861
3,Complex cultivation patterns,5,0.557632,0.529586,0.588816
3,Land principally occupied by agriculture,6,0.0,0.0,0.0
3,Agro-forestry areas,7,0.682081,0.719512,0.648352
3,Broad-leaved forest,8,0.576772,0.510453,0.662896
3,Coniferous forest,9,0.645707,0.787611,0.547131
3,Mixed forest,10,0.699069,0.731602,0.669307
3,Natural grassland and sparsely vegetated areas,11,0.0,0.0,0.0
3,"Moors, heathland and sclerophyllous vegetation",12,0.0,0.0,0.0
3,"Transitional woodland, shrub",13,0.53949,0.658754,0.45679
3,"Beaches, dunes, sands",14,0.0,0.0,0.0
3,Inland wetlands,15,0.0,0.0,0.0
3,Coastal wetlands,16,0.0,0.0,0.0
3,Inland waters,17,0.472441,0.833333,0.32967
3,Marine waters,18,0.890282,0.959459,0.830409
4,Urban fabric,0,0.653409,0.766667,0.569307
4,Industrial or commercial units,1,0.366667,0.785714,0.23913
4,Arable land,2,0.725379,0.914081,0.601256
4,Permanent crops,3,0.520179,0.527273,0.513274
4,Pastures,4,0.61944,0.618421,0.620462
4,Complex cultivation patterns,5,0.547112,0.508475,0.592105
4,Land principally occupied by agriculture,6,0.0,0.0,0.0
4,Agro-forestry areas,7,0.72381,0.638655,0.835165
4,Broad-leaved forest,8,0.513541,0.461261,0.579186
4,Coniferous forest,9,0.395672,0.805031,0.262295
4,Mixed forest,10,0.648212,0.776243,0.556436
4,Natural grassland and sparsely vegetated areas,11,0.208333,0.5,0.131579
4,"Moors, heathland and sclerophyllous vegetation",12,0.041667,0.5,0.021739
4,"Transitional woodland, shrub",13,0.413392,0.706468,0.292181
4,"Beaches, dunes, sands",14,0.0,0.0,0.0
4,Inland wetlands,15,0.058824,0.4,0.031746
4,Coastal wetlands,16,0.0,0.0,0.0
4,Inland waters,17,0.50996,0.927536,0.351648
4,Marine waters,18,0.873786,0.978261,0.789474
5,Urban fabric,0,0.628205,0.890909,0.485149
