epoch,batch,n_batches,running_loss,batch_loss,lr,batch_f1,batch_acc,batch_prec
1,5,53,1.073111,1.046164,0.00001000,0.145472,0.434759,0.126383
1,10,53,1.019162,0.938071,0.00001000,0.145730,0.479167,0.124467
1,15,53,0.967695,0.828113,0.00001000,0.142957,0.547697,0.130301
1,20,53,0.923164,0.740486,0.00001000,0.138855,0.606360,0.131526
1,25,53,0.877815,0.673627,0.00001000,0.115564,0.653509,0.111802
1,30,53,0.841160,0.628605,0.00001000,0.072027,0.685855,0.064818
1,35,53,0.806282,0.584469,0.00001000,0.095231,0.725877,0.104854
1,40,53,0.774004,0.531203,0.00001000,0.100574,0.747807,0.166866
1,45,53,0.745073,0.492880,0.00001000,0.073087,0.782895,0.082299
1,50,53,0.717632,0.459952,0.00001000,0.069477,0.796053,0.097980
1,53,53,0.702804,0.457440,0.00001000,0.058480,0.809210,0.041353
2,5,53,0.396304,0.374257,0.00010000,0.053951,0.855811,0.126144
2,10,53,0.371672,0.328534,0.00010000,0.034559,0.864035,0.057895
2,15,53,0.356096,0.309195,0.00010000,0.088442,0.859649,0.192869
2,20,53,0.341795,0.278352,0.00010000,0.177935,0.887061,0.220851
2,25,53,0.334636,0.332358,0.00010000,0.120268,0.869518,0.198465
2,30,53,0.326645,0.281735,0.00010000,0.181707,0.878838,0.227512
2,35,53,0.318598,0.258707,0.00010000,0.220215,0.895833,0.300920
2,40,53,0.314085,0.289791,0.00010000,0.150278,0.876096,0.244865
2,45,53,0.310372,0.274053,0.00010000,0.206724,0.881579,0.287907
2,50,53,0.307653,0.284552,0.00010000,0.230914,0.875548,0.337283
2,53,53,0.304325,0.191587,0.00010000,0.186216,0.914474,0.192982
3,5,53,0.262089,0.265202,0.00005050,0.248467,0.889254,0.428997
3,10,53,0.261428,0.265111,0.00005050,0.228291,0.885417,0.351597
3,15,53,0.261776,0.249956,0.00005050,0.228215,0.896382,0.331721
3,20,53,0.257690,0.247609,0.00005050,0.202709,0.888706,0.273263
3,25,53,0.257255,0.257539,0.00005050,0.278697,0.889255,0.371810
3,30,53,0.258025,0.265918,0.00005050,0.270774,0.893640,0.421127
3,35,53,0.259220,0.228669,0.00005050,0.267206,0.900219,0.450945
3,40,53,0.260552,0.256916,0.00005050,0.305941,0.893640,0.412633
3,45,53,0.259189,0.240610,0.00005050,0.292692,0.896930,0.399307
3,50,53,0.258304,0.236753,0.00005050,0.248050,0.894737,0.351714
3,53,53,0.260036,0.323640,0.00005050,0.149123,0.855263,0.184211
