epoch,true_class,pred_class,value
1,Urban fabric,Urban fabric,0.549572
1,Urban fabric,Industrial or commercial units,0.020684
1,Urban fabric,Arable land,0.549457
1,Urban fabric,Permanent crops,0.004275
1,Urban fabric,Pastures,0.17073
1,Urban fabric,Complex cultivation patterns,0.465161
1,Urban fabric,Land principally occupied by agriculture,0.0
1,Urban fabric,Agro-forestry areas,0.011093
1,Urban fabric,Broad-leaved forest,0.158944
1,Urban fabric,Coniferous forest,0.113242
1,Urban fabric,Mixed forest,0.217587
1,Urban fabric,Natural grassland and sparsely vegetated areas,0.0
1,Urban fabric,"Moors, heathland and sclerophyllous vegetation",0.0
1,Urban fabric,"Transitional woodland, shrub",0.046279
1,Urban fabric,"Beaches, dunes, sands",0.0
1,Urban fabric,Inland wetlands,5.8e-05
1,Urban fabric,Coastal wetlands,0.0
1,Urban fabric,Inland waters,0.02444
1,Urban fabric,Marine waters,0.006644
1,Industrial or commercial units,Urban fabric,0.632062
1,Industrial or commercial units,Industrial or commercial units,0.108951
1,Industrial or commercial units,Arable land,0.529714
1,Industrial or commercial units,Permanent crops,0.006603
1,Industrial or commercial units,Pastures,0.077403
1,Industrial or commercial units,Complex cultivation patterns,0.314013
1,Industrial or commercial units,Land principally occupied by agriculture,0.0
1,Industrial or commercial units,Agro-forestry areas,0.016508
1,Industrial or commercial units,Broad-leaved forest,0.062362
1,Industrial or commercial units,Coniferous forest,0.146735
1,Industrial or commercial units,Mixed forest,0.230007
1,Industrial or commercial units,Natural grassland and sparsely vegetated areas,0.0
1,Industrial or commercial units,"Moors, heathland and sclerophyllous vegetation",0.0
1,Industrial or commercial units,"Transitional woodland, shrub",0.039252
1,Industrial or commercial units,"Beaches, dunes, sands",0.0
1,Industrial or commercial units,Inland wetlands,0.0
1,Industrial or commercial units,Coastal wetlands,0.0
1,Industrial or commercial units,Inland waters,0.040352
1,Industrial or commercial units,Marine waters,0.005869
1,Arable land,Urban fabric,0.176026
1,Arable land,Industrial or commercial units,0.003559
1,Arable land,Arable land,0.707723
1,Arable land,Permanent crops,0.009188
1,Arable land,Pastures,0.16159
1,Arable land,Complex cultivation patterns,0.226773
1,Arable land,Land principally occupied by agriculture,0.0
1,Arable land,Agro-forestry areas,0.087299
1,Arable land,Broad-leaved forest,0.13875
1,Arable land,Coniferous forest,0.168567
1,Arable land,Mixed forest,0.239258
1,Arable land,Natural grassland and sparsely vegetated areas,0.0
1,Arable land,"Moors, heathland and sclerophyllous vegetation",0.0
1,Arable land,"Transitional woodland, shrub",0.059352
1,Arable land,"Beaches, dunes, sands",0.0
1,Arable land,Inland wetlands,0.000141
1,Arable land,Coastal wetlands,0.0
1,Arable land,Inland waters,0.025816
1,Arable land,Marine waters,0.00191
1,Permanent crops,Urban fabric,0.229282
1,Permanent crops,Industrial or commercial units,0.003913
1,Permanent crops,Arable land,0.478246
1,Permanent crops,Permanent crops,0.040516
1,Permanent crops,Pastures,0.015999
1,Permanent crops,Complex cultivation patterns,0.365562
1,Permanent crops,Land principally occupied by agriculture,0.0
1,Permanent crops,Agro-forestry areas,0.167587
1,Permanent crops,Broad-leaved forest,0.274056
1,Permanent crops,Coniferous forest,0.019337
1,Permanent crops,Mixed forest,0.091736
1,Permanent crops,Natural grassland and sparsely vegetated areas,0.0
1,Permanent crops,"Moors, heathland and sclerophyllous vegetation",0.0
1,Permanent crops,"Transitional woodland, shrub",0.208794
1,Permanent crops,"Beaches, dunes, sands",0.0
1,Permanent crops,Inland wetlands,0.0
1,Permanent crops,Coastal wetlands,0.0
1,Permanent crops,Inland waters,0.001381
1,Permanent crops,Marine waters,0.001036
1,Pastures,Urban fabric,0.141154
1,Pastures,Industrial or commercial units,0.001736
1,Pastures,Arable land,0.521204
1,Pastures,Permanent crops,0.002701
1,Pastures,Pastures,0.470615
1,Pastures,Complex cultivation patterns,0.169361
1,Pastures,Land principally occupied by agriculture,0.0
1,Pastures,Agro-forestry areas,0.077368
1,Pastures,Broad-leaved forest,0.125024
1,Pastures,Coniferous forest,0.1317
1,Pastures,Mixed forest,0.219332
1,Pastures,Natural grassland and sparsely vegetated areas,0.0
1,Pastures,"Moors, heathland and sclerophyllous vegetation",0.0
1,Pastures,"Transitional woodland, shrub",0.059425
1,Pastures,"Beaches, dunes, sands",0.0
1,Pastures,Inland wetlands,3.9e-05
1,Pastures,Coastal wetlands,0.0
1,Pastures,Inland waters,0.010457
1,Pastures,Marine waters,0.003859
1,Complex cultivation patterns,Urban fabric,0.245111
1,Complex cultivation patterns,Industrial or commercial units,0.004531
1,Complex cultivation patterns,Arable land,0.491127
1,Complex cultivation patterns,Permanent crops,0.008004
1,Complex cultivation patterns,Pastures,0.156309
1,Complex cultivation patterns,Complex cultivation patterns,0.445858
1,Complex cultivation patterns,Land principally occupied by agriculture,0.0
1,Complex cultivation patterns,Agro-forestry areas,0.037869
1,Complex cultivation patterns,Broad-leaved forest,0.312165
1,Complex cultivation patterns,Coniferous forest,0.104697
1,Complex cultivation patterns,Mixed forest,0.208941
1,Complex cultivation patterns,Natural grassland and sparsely vegetated areas,0.0
1,Complex cultivation patterns,"Moors, heathland and sclerophyllous vegetation",0.0
1,Complex cultivation patterns,"Transitional woodland, shrub",0.113494
1,Complex cultivation patterns,"Beaches, dunes, sands",0.0
1,Complex cultivation patterns,Inland wetlands,0.0
1,Complex cultivation patterns,Coastal wetlands,0.0
1,Complex cultivation patterns,Inland waters,0.008155
1,Complex cultivation patterns,Marine waters,0.001208
1,Land principally occupied by agriculture,Urban fabric,0.0
1,Land principally occupied by agriculture,Industrial or commercial units,0.0
1,Land principally occupied by agriculture,Arable land,0.0
1,Land principally occupied by agriculture,Permanent crops,0.0
1,Land principally occupied by agriculture,Pastures,0.0
1,Land principally occupied by agriculture,Complex cultivation patterns,0.0
1,Land principally occupied by agriculture,Land principally occupied by agriculture,0.0
1,Land principally occupied by agriculture,Agro-forestry areas,0.0
1,Land principally occupied by agriculture,Broad-leaved forest,0.0
1,Land principally occupied by agriculture,Coniferous forest,0.0
1,Land principally occupied by agriculture,Mixed forest,0.0
1,Land principally occupied by agriculture,Natural grassland and sparsely vegetated areas,0.0
1,Land principally occupied by agriculture,"Moors, heathland and sclerophyllous vegetation",0.0
1,Land principally occupied by agriculture,"Transitional woodland, shrub",0.0
1,Land principally occupied by agriculture,"Beaches, dunes, sands",0.0
1,Land principally occupied by agriculture,Inland wetlands,0.0
1,Land principally occupied by agriculture,Coastal wetlands,0.0
1,Land principally occupied by agriculture,Inland waters,0.0
1,Land principally occupied by agriculture,Marine waters,0.0
1,Agro-forestry areas,Urban fabric,0.043889
1,Agro-forestry areas,Industrial or commercial units,0.001594
1,Agro-forestry areas,Arable land,0.516857
1,Agro-forestry areas,Permanent crops,0.019615
1,Agro-forestry areas,Pastures,0.011033
1,Agro-forestry areas,Complex cultivation patterns,0.05578
1,Agro-forestry areas,Land principally occupied by agriculture,0.0
1,Agro-forestry areas,Agro-forestry areas,0.691185
1,Agro-forestry areas,Broad-leaved forest,0.30955
1,Agro-forestry areas,Coniferous forest,0.00282
1,Agro-forestry areas,Mixed forest,0.012872
1,Agro-forestry areas,Natural grassland and sparsely vegetated areas,0.0
1,Agro-forestry areas,"Moors, heathland and sclerophyllous vegetation",0.0
1,Agro-forestry areas,"Transitional woodland, shrub",0.179233
1,Agro-forestry areas,"Beaches, dunes, sands",0.0
1,Agro-forestry areas,Inland wetlands,0.0
1,Agro-forestry areas,Coastal wetlands,0.0
1,Agro-forestry areas,Inland waters,0.000613
1,Agro-forestry areas,Marine waters,0.000123
1,Broad-leaved forest,Urban fabric,0.102693
1,Broad-leaved forest,Industrial or commercial units,0.002063
1,Broad-leaved forest,Arable land,0.323565
1,Broad-leaved forest,Permanent crops,0.001441
1,Broad-leaved forest,Pastures,0.110916
1,Broad-leaved forest,Complex cultivation patterns,0.229887
1,Broad-leaved forest,Land principally occupied by agriculture,0.0
1,Broad-leaved forest,Agro-forestry areas,0.113601
1,Broad-leaved forest,Broad-leaved forest,0.423602
1,Broad-leaved forest,Coniferous forest,0.190833
1,Broad-leaved forest,Mixed forest,0.271399
1,Broad-leaved forest,Natural grassland and sparsely vegetated areas,0.0
1,Broad-leaved forest,"Moors, heathland and sclerophyllous vegetation",0.0
1,Broad-leaved forest,"Transitional woodland, shrub",0.209653
1,Broad-leaved forest,"Beaches, dunes, sands",0.0
