epoch,batch,n_batches,running_loss,batch_loss,lr,batch_f1,batch_acc,batch_prec
1,5,53,0.865105,0.823817,0.00001000,0.131074,0.577851,0.095415
1,10,53,0.823875,0.765115,0.00001000,0.120641,0.597588,0.122067
1,15,53,0.788557,0.695781,0.00001000,0.148637,0.658991,0.159066
1,20,53,0.749683,0.609453,0.00001000,0.157123,0.723684,0.176615
1,25,53,0.717380,0.572409,0.00001000,0.110377,0.746711,0.101175
1,30,53,0.690245,0.549034,0.00001000,0.126388,0.777412,0.155044
1,35,53,0.666334,0.514914,0.00001000,0.088096,0.798794,0.148031
1,40,53,0.644818,0.482093,0.00001000,0.123022,0.823465,0.163772
1,45,53,0.625569,0.468952,0.00001000,0.050236,0.836623,0.087518
1,50,53,0.609281,0.463270,0.00001000,0.054739,0.833333,0.091618
1,53,53,0.599675,0.420614,0.00001000,0.086216,0.842105,0.100877
2,5,53,0.435910,0.435995,0.00010000,0.072357,0.854715,0.203428
2,10,53,0.430857,0.416452,0.00010000,0.130831,0.867873,0.202511
2,15,53,0.424435,0.409127,0.00010000,0.046850,0.847588,0.106579
2,20,53,0.419946,0.417444,0.00010000,0.128117,0.867325,0.223912
2,25,53,0.417214,0.395945,0.00010000,0.071751,0.849232,0.163745
2,30,53,0.415154,0.406166,0.00010000,0.072315,0.865680,0.125082
2,35,53,0.411143,0.404529,0.00010000,0.149018,0.878838,0.240048
2,40,53,0.408088,0.391792,0.00010000,0.158637,0.874452,0.293112
2,45,53,0.406723,0.383773,0.00010000,0.180875,0.879934,0.273524
2,50,53,0.404450,0.384871,0.00010000,0.142765,0.887610,0.163030
2,53,53,0.403308,0.395814,0.00010000,0.156140,0.848684,0.166667
3,5,53,0.385209,0.358911,0.00007525,0.210935,0.895833,0.342769
3,10,53,0.385123,0.378404,0.00007525,0.184036,0.883224,0.255792
3,15,53,0.385626,0.369761,0.00007525,0.248416,0.887061,0.421831
3,20,53,0.381789,0.362715,0.00007525,0.073649,0.848136,0.102517
3,25,53,0.380335,0.365213,0.00007525,0.175690,0.889254,0.267441
3,30,53,0.378915,0.382136,0.00007525,0.104205,0.825110,0.145913
3,35,53,0.379732,0.420353,0.00007525,0.113087,0.865680,0.240930
3,40,53,0.377556,0.360855,0.00007525,0.223306,0.895833,0.393695
3,45,53,0.379428,0.376132,0.00007525,0.266791,0.883224,0.384259
3,50,53,0.377269,0.359296,0.00007525,0.240802,0.894737,0.420323
3,53,53,0.378283,0.426411,0.00007525,0.108772,0.842105,0.140351
4,5,53,0.366548,0.362957,0.00002575,0.245497,0.895833,0.362739
4,10,53,0.369420,0.374372,0.00002575,0.222948,0.883224,0.410047
4,15,53,0.369699,0.407004,0.00002575,0.189574,0.867873,0.298194
4,20,53,0.369205,0.374850,0.00002575,0.083363,0.832785,0.124443
4,25,53,0.371646,0.368318,0.00002575,0.070829,0.822368,0.103703
4,30,53,0.372043,0.373296,0.00002575,0.072531,0.836623,0.105359
4,35,53,0.372751,0.426710,0.00002575,0.132263,0.848136,0.248173
4,40,53,0.371888,0.372350,0.00002575,0.238428,0.873355,0.395729
4,45,53,0.373074,0.401380,0.00002575,0.274615,0.885417,0.435777
4,50,53,0.372266,0.355497,0.00002575,0.260712,0.899123,0.410434
4,53,53,0.371023,0.343497,0.00002575,0.131579,0.888158,0.175439
