epoch,batch,n_batches,running_loss
1,50,7434,0.632572
1,100,7434,0.541470
1,150,7434,0.503182
1,200,7434,0.481596
1,250,7434,0.467040
1,300,7434,0.455746
1,350,7434,0.446982
1,400,7434,0.440389
1,450,7434,0.434954
1,500,7434,0.430526
1,550,7434,0.426694
1,600,7434,0.423791
1,650,7434,0.420504
1,700,7434,0.417435
1,750,7434,0.415059
1,800,7434,0.412713
1,850,7434,0.410687
1,900,7434,0.408867
1,950,7434,0.407206
1,1000,7434,0.405776
1,1050,7434,0.404451
1,1100,7434,0.403342
1,1150,7434,0.402102
1,1200,7434,0.400790
1,1250,7434,0.399673
1,1300,7434,0.398485
1,1350,7434,0.397789
1,1400,7434,0.397028
1,1450,7434,0.396098
1,1500,7434,0.395059
1,1550,7434,0.394257
1,1600,7434,0.393447
1,1650,7434,0.392603
1,1700,7434,0.391906
1,1750,7434,0.391128
1,1800,7434,0.390545
1,1850,7434,0.389858
1,1900,7434,0.389113
1,1950,7434,0.388482
1,2000,7434,0.387996
1,2050,7434,0.387456
1,2100,7434,0.386915
1,2150,7434,0.386330
1,2200,7434,0.385893
1,2250,7434,0.385341
1,2300,7434,0.384924
1,2350,7434,0.384404
1,2400,7434,0.383998
1,2450,7434,0.383566
1,2500,7434,0.383186
1,2550,7434,0.382847
1,2600,7434,0.382448
1,2650,7434,0.382036
1,2700,7434,0.381576
1,2750,7434,0.381279
1,2800,7434,0.380885
1,2850,7434,0.380651
1,2900,7434,0.380281
1,2950,7434,0.379961
1,3000,7434,0.379584
1,3050,7434,0.379263
1,3100,7434,0.378967
1,3150,7434,0.378634
1,3200,7434,0.378343
1,3250,7434,0.378073
1,3300,7434,0.377874
1,3350,7434,0.377548
1,3400,7434,0.377224
1,3450,7434,0.376964
1,3500,7434,0.376736
1,3550,7434,0.376488
1,3600,7434,0.376211
1,3650,7434,0.375979
1,3700,7434,0.375766
1,3750,7434,0.375492
1,3800,7434,0.375228
1,3850,7434,0.374977
1,3900,7434,0.374745
1,3950,7434,0.374503
1,4000,7434,0.374169
1,4050,7434,0.373866
1,4100,7434,0.373595
1,4150,7434,0.373452
1,4200,7434,0.373238
1,4250,7434,0.372972
1,4300,7434,0.372773
1,4350,7434,0.372560
1,4400,7434,0.372310
1,4450,7434,0.372090
1,4500,7434,0.371909
1,4550,7434,0.371648
1,4600,7434,0.371493
1,4650,7434,0.371285
1,4700,7434,0.371080
1,4750,7434,0.370807
1,4800,7434,0.370644
1,4850,7434,0.370506
1,4900,7434,0.370362
1,4950,7434,0.370171
1,5000,7434,0.369961
1,5050,7434,0.369697
1,5100,7434,0.369497
1,5150,7434,0.369284
1,5200,7434,0.369116
1,5250,7434,0.369033
1,5300,7434,0.368883
1,5350,7434,0.368685
1,5400,7434,0.368499
1,5450,7434,0.368366
1,5500,7434,0.368187
1,5550,7434,0.368035
1,5600,7434,0.367916
1,5650,7434,0.367746
1,5700,7434,0.367589
1,5750,7434,0.367485
1,5800,7434,0.367354
1,5850,7434,0.367254
1,5900,7434,0.367124
1,5950,7434,0.366986
1,6000,7434,0.366834
1,6050,7434,0.366665
1,6100,7434,0.366549
1,6150,7434,0.366443
1,6200,7434,0.366289
1,6250,7434,0.366186
1,6300,7434,0.366009
1,6350,7434,0.365824
1,6400,7434,0.365712
1,6450,7434,0.365625
1,6500,7434,0.365493
1,6550,7434,0.365368
1,6600,7434,0.365219
1,6650,7434,0.365094
1,6700,7434,0.364952
1,6750,7434,0.364803
1,6800,7434,0.364705
1,6850,7434,0.364557
1,6900,7434,0.364426
1,6950,7434,0.364303
1,7000,7434,0.364176
1,7050,7434,0.364010
1,7100,7434,0.363897
1,7150,7434,0.363757
1,7200,7434,0.363657
1,7250,7434,0.363541
1,7300,7434,0.363408
1,7350,7434,0.363241
1,7400,7434,0.363126
2,50,7434,0.348911
2,100,7434,0.346543
2,150,7434,0.347230
2,200,7434,0.347065
2,250,7434,0.347773
2,300,7434,0.347064
2,350,7434,0.346777
2,400,7434,0.346266
2,450,7434,0.345852
2,500,7434,0.345782
2,550,7434,0.345967
2,600,7434,0.345610
2,650,7434,0.345721
2,700,7434,0.345247
2,750,7434,0.345420
2,800,7434,0.345548
2,850,7434,0.345294
2,900,7434,0.345221
2,950,7434,0.345407
2,1000,7434,0.345457
2,1050,7434,0.345366
2,1100,7434,0.345304
2,1150,7434,0.344994
2,1200,7434,0.345277
2,1250,7434,0.345287
2,1300,7434,0.345076
2,1350,7434,0.344984
2,1400,7434,0.345104
2,1450,7434,0.344983
2,1500,7434,0.344822
2,1550,7434,0.344662
2,1600,7434,0.344712
2,1650,7434,0.344602
2,1700,7434,0.344378
2,1750,7434,0.344229
2,1800,7434,0.344139
2,1850,7434,0.343851
2,1900,7434,0.343668
2,1950,7434,0.343748
2,2000,7434,0.343545
2,2050,7434,0.343363
2,2100,7434,0.343164
2,2150,7434,0.343042
2,2200,7434,0.342885
2,2250,7434,0.342819
2,2300,7434,0.342773
2,2350,7434,0.342650
2,2400,7434,0.342684
2,2450,7434,0.342552
2,2500,7434,0.342588
2,2550,7434,0.342619
2,2600,7434,0.342570
2,2650,7434,0.342530
2,2700,7434,0.342418
2,2750,7434,0.342315
2,2800,7434,0.342270
2,2850,7434,0.342079
2,2900,7434,0.342084
2,2950,7434,0.342024
2,3000,7434,0.341986
2,3050,7434,0.341726
2,3100,7434,0.341621
2,3150,7434,0.341640
2,3200,7434,0.341441
2,3250,7434,0.341333
2,3300,7434,0.341257
2,3350,7434,0.341099
2,3400,7434,0.341027
2,3450,7434,0.340955
2,3500,7434,0.340918
2,3550,7434,0.340896
2,3600,7434,0.340853
2,3650,7434,0.340768
2,3700,7434,0.340659
2,3750,7434,0.340566
2,3800,7434,0.340518
2,3850,7434,0.340433
2,3900,7434,0.340336
2,3950,7434,0.340263
2,4000,7434,0.340224
2,4050,7434,0.340159
2,4100,7434,0.340023
2,4150,7434,0.339863
2,4200,7434,0.339710
2,4250,7434,0.339577
2,4300,7434,0.339469
2,4350,7434,0.339359
2,4400,7434,0.339337
2,4450,7434,0.339211
2,4500,7434,0.339107
2,4550,7434,0.338980
2,4600,7434,0.338822
2,4650,7434,0.338821
2,4700,7434,0.338693
2,4750,7434,0.338570
2,4800,7434,0.338480
2,4850,7434,0.338396
2,4900,7434,0.338358
2,4950,7434,0.338267
2,5000,7434,0.338219
2,5050,7434,0.338113
2,5100,7434,0.338040
2,5150,7434,0.337963
2,5200,7434,0.337882
2,5250,7434,0.337839
2,5300,7434,0.337800
2,5350,7434,0.337759
2,5400,7434,0.337717
2,5450,7434,0.337627
2,5500,7434,0.337518
2,5550,7434,0.337426
2,5600,7434,0.337453
2,5650,7434,0.337298
2,5700,7434,0.337277
2,5750,7434,0.337164
2,5800,7434,0.337139
2,5850,7434,0.337063
2,5900,7434,0.337026
2,5950,7434,0.336956
2,6000,7434,0.336882
2,6050,7434,0.336872
2,6100,7434,0.336777
2,6150,7434,0.336734
2,6200,7434,0.336679
2,6250,7434,0.336593
2,6300,7434,0.336525
2,6350,7434,0.336496
2,6400,7434,0.336413
2,6450,7434,0.336336
2,6500,7434,0.336264
2,6550,7434,0.336192
2,6600,7434,0.336183
2,6650,7434,0.336126
2,6700,7434,0.336111
2,6750,7434,0.335999
2,6800,7434,0.335928
2,6850,7434,0.335814
2,6900,7434,0.335755
2,6950,7434,0.335681
2,7000,7434,0.335611
2,7050,7434,0.335549
2,7100,7434,0.335484
2,7150,7434,0.335415
2,7200,7434,0.335375
2,7250,7434,0.335295
2,7300,7434,0.335204
2,7350,7434,0.335167
2,7400,7434,0.335097
3,50,7434,0.325002
3,100,7434,0.325506
3,150,7434,0.323423
3,200,7434,0.324384
3,250,7434,0.325212
3,300,7434,0.325254
3,350,7434,0.325899
3,400,7434,0.325772
3,450,7434,0.326508
3,500,7434,0.326707
3,550,7434,0.326776
3,600,7434,0.326787
3,650,7434,0.326631
3,700,7434,0.326887
3,750,7434,0.326931
3,800,7434,0.326802
3,850,7434,0.327076
3,900,7434,0.327137
3,950,7434,0.326905
3,1000,7434,0.326663
3,1050,7434,0.326528
3,1100,7434,0.326251
3,1150,7434,0.326061
3,1200,7434,0.326021
3,1250,7434,0.326157
3,1300,7434,0.326302
3,1350,7434,0.326255
3,1400,7434,0.326230
3,1450,7434,0.326225
3,1500,7434,0.326143
3,1550,7434,0.326016
3,1600,7434,0.326104
3,1650,7434,0.326154
3,1700,7434,0.325880
3,1750,7434,0.325972
3,1800,7434,0.325801
3,1850,7434,0.325813
3,1900,7434,0.325739
3,1950,7434,0.325510
3,2000,7434,0.325380
3,2050,7434,0.325252
3,2100,7434,0.325210
3,2150,7434,0.325165
3,2200,7434,0.324991
3,2250,7434,0.325038
3,2300,7434,0.325153
3,2350,7434,0.325055
3,2400,7434,0.325105
3,2450,7434,0.325151
3,2500,7434,0.325010
3,2550,7434,0.324952
3,2600,7434,0.324938
3,2650,7434,0.324883
3,2700,7434,0.324928
3,2750,7434,0.325001
3,2800,7434,0.324981
3,2850,7434,0.324971
3,2900,7434,0.324936
3,2950,7434,0.324922
3,3000,7434,0.324900
3,3050,7434,0.324860
3,3100,7434,0.324905
3,3150,7434,0.324907
3,3200,7434,0.324965
3,3250,7434,0.324927
3,3300,7434,0.324866
3,3350,7434,0.324757
3,3400,7434,0.324822
3,3450,7434,0.324832
3,3500,7434,0.324835
3,3550,7434,0.324841
3,3600,7434,0.324893
3,3650,7434,0.324951
3,3700,7434,0.324894
3,3750,7434,0.324856
3,3800,7434,0.324826
3,3850,7434,0.324754
3,3900,7434,0.324749
3,3950,7434,0.324773
3,4000,7434,0.324747
3,4050,7434,0.324679
3,4100,7434,0.324597
3,4150,7434,0.324524
3,4200,7434,0.324478
3,4250,7434,0.324341
3,4300,7434,0.324303
3,4350,7434,0.324310
3,4400,7434,0.324276
3,4450,7434,0.324279
3,4500,7434,0.324222
3,4550,7434,0.324239
3,4600,7434,0.324209
3,4650,7434,0.324124
3,4700,7434,0.324173
3,4750,7434,0.324120
3,4800,7434,0.324097
3,4850,7434,0.324031
3,4900,7434,0.324033
3,4950,7434,0.324004
3,5000,7434,0.323925
3,5050,7434,0.323868
3,5100,7434,0.323790
3,5150,7434,0.323715
3,5200,7434,0.323658
3,5250,7434,0.323623
3,5300,7434,0.323528
3,5350,7434,0.323473
3,5400,7434,0.323458
3,5450,7434,0.323423
3,5500,7434,0.323390
3,5550,7434,0.323392
3,5600,7434,0.323359
3,5650,7434,0.323276
3,5700,7434,0.323316
3,5750,7434,0.323288
3,5800,7434,0.323247
3,5850,7434,0.323185
3,5900,7434,0.323095
3,5950,7434,0.322994
3,6000,7434,0.322918
3,6050,7434,0.322866
3,6100,7434,0.322825
3,6150,7434,0.322843
3,6200,7434,0.322854
3,6250,7434,0.322865
3,6300,7434,0.322895
3,6350,7434,0.322860
3,6400,7434,0.322798
3,6450,7434,0.322730
3,6500,7434,0.322744
3,6550,7434,0.322739
3,6600,7434,0.322718
3,6650,7434,0.322647
3,6700,7434,0.322565
3,6750,7434,0.322544
3,6800,7434,0.322530
3,6850,7434,0.322520
3,6900,7434,0.322480
3,6950,7434,0.322474
3,7000,7434,0.322453
3,7050,7434,0.322380
3,7100,7434,0.322294
3,7150,7434,0.322261
3,7200,7434,0.322203
3,7250,7434,0.322099
3,7300,7434,0.322081
3,7350,7434,0.322035
3,7400,7434,0.322025
4,50,7434,0.321809
4,100,7434,0.323043
4,150,7434,0.322668
4,200,7434,0.321541
4,250,7434,0.318661
4,300,7434,0.319460
4,350,7434,0.320160
4,400,7434,0.319348
4,450,7434,0.318778
4,500,7434,0.319567
4,550,7434,0.319510
4,600,7434,0.319313
4,650,7434,0.318949
4,700,7434,0.318718
4,750,7434,0.318649
4,800,7434,0.318492
4,850,7434,0.318045
4,900,7434,0.317665
4,950,7434,0.317365
4,1000,7434,0.317282
4,1050,7434,0.317066
4,1100,7434,0.317295
4,1150,7434,0.317107
4,1200,7434,0.317255
4,1250,7434,0.317241
4,1300,7434,0.317227
4,1350,7434,0.317314
4,1400,7434,0.317313
4,1450,7434,0.317186
4,1500,7434,0.317324
4,1550,7434,0.317235
4,1600,7434,0.317160
4,1650,7434,0.316942
4,1700,7434,0.316794
4,1750,7434,0.316752
4,1800,7434,0.316728
4,1850,7434,0.316804
4,1900,7434,0.316808
4,1950,7434,0.316732
4,2000,7434,0.316685
4,2050,7434,0.316704
4,2100,7434,0.316713
4,2150,7434,0.316751
4,2200,7434,0.316742
4,2250,7434,0.316641
4,2300,7434,0.316646
4,2350,7434,0.316678
4,2400,7434,0.316616
4,2450,7434,0.316688
4,2500,7434,0.316644
4,2550,7434,0.316364
4,2600,7434,0.316367
4,2650,7434,0.316392
4,2700,7434,0.316238
4,2750,7434,0.316147
4,2800,7434,0.316147
4,2850,7434,0.316119
4,2900,7434,0.316083
4,2950,7434,0.316063
4,3000,7434,0.316025
4,3050,7434,0.316023
4,3100,7434,0.316033
4,3150,7434,0.316125
4,3200,7434,0.316032
4,3250,7434,0.316166
4,3300,7434,0.316113
4,3350,7434,0.316060
4,3400,7434,0.316102
4,3450,7434,0.315993
4,3500,7434,0.315964
4,3550,7434,0.316076
4,3600,7434,0.316029
4,3650,7434,0.315995
4,3700,7434,0.316027
4,3750,7434,0.315911
4,3800,7434,0.315900
4,3850,7434,0.315848
4,3900,7434,0.315858
4,3950,7434,0.315851
4,4000,7434,0.315747
4,4050,7434,0.315764
4,4100,7434,0.315815
4,4150,7434,0.315765
4,4200,7434,0.315747
4,4250,7434,0.315739
4,4300,7434,0.315622
4,4350,7434,0.315546
4,4400,7434,0.315488
4,4450,7434,0.315541
4,4500,7434,0.315605
