epoch,batch,n_batches,running_loss
1,100,3717,0.331180
1,200,3717,0.294570
1,300,3717,0.277388
1,400,3717,0.266873
1,500,3717,0.258493
1,600,3717,0.252243
1,700,3717,0.247670
1,800,3717,0.242973
1,900,3717,0.239065
1,1000,3717,0.235663
1,1100,3717,0.232468
1,1200,3717,0.229722
1,1300,3717,0.226962
1,1400,3717,0.224773
1,1500,3717,0.222690
1,1600,3717,0.220670
1,1700,3717,0.218841
1,1800,3717,0.217259
1,1900,3717,0.215609
1,2000,3717,0.214017
1,2100,3717,0.212655
1,2200,3717,0.211183
1,2300,3717,0.209709
1,2400,3717,0.208343
1,2500,3717,0.207031
1,2600,3717,0.205844
1,2700,3717,0.204615
1,2800,3717,0.203562
1,2900,3717,0.202523
1,3000,3717,0.201535
1,3100,3717,0.200570
1,3200,3717,0.199631
1,3300,3717,0.198729
1,3400,3717,0.197857
1,3500,3717,0.196969
1,3600,3717,0.196078
1,3700,3717,0.195229
2,100,3717,0.168496
2,200,3717,0.168107
2,300,3717,0.168397
2,400,3717,0.168286
2,500,3717,0.168118
2,600,3717,0.167039
2,700,3717,0.166416
2,800,3717,0.166223
2,900,3717,0.165406
2,1000,3717,0.164823
2,1100,3717,0.164226
2,1200,3717,0.163764
2,1300,3717,0.163122
2,1400,3717,0.162681
2,1500,3717,0.162023
2,1600,3717,0.161514
2,1700,3717,0.160971
2,1800,3717,0.160513
2,1900,3717,0.159934
2,2000,3717,0.159365
2,2100,3717,0.158902
2,2200,3717,0.158344
2,2300,3717,0.157785
2,2400,3717,0.157352
2,2500,3717,0.156930
2,2600,3717,0.156534
2,2700,3717,0.156151
2,2800,3717,0.155769
2,2900,3717,0.155380
2,3000,3717,0.155047
2,3100,3717,0.154775
2,3200,3717,0.154349
2,3300,3717,0.154078
2,3400,3717,0.153720
2,3500,3717,0.153445
2,3600,3717,0.153144
2,3700,3717,0.152795
3,100,3717,0.142121
3,200,3717,0.141165
3,300,3717,0.141597
3,400,3717,0.141255
3,500,3717,0.141152
3,600,3717,0.140698
3,700,3717,0.141036
3,800,3717,0.140672
3,900,3717,0.140624
3,1000,3717,0.140326
3,1100,3717,0.140267
3,1200,3717,0.139945
3,1300,3717,0.139721
3,1400,3717,0.139445
3,1500,3717,0.139160
3,1600,3717,0.138841
3,1700,3717,0.138627
3,1800,3717,0.138517
3,1900,3717,0.138334
3,2000,3717,0.138094
3,2100,3717,0.137801
3,2200,3717,0.137661
3,2300,3717,0.137385
3,2400,3717,0.137223
3,2500,3717,0.136935
3,2600,3717,0.136867
3,2700,3717,0.136684
3,2800,3717,0.136564
3,2900,3717,0.136424
3,3000,3717,0.136261
3,3100,3717,0.136004
3,3200,3717,0.135826
3,3300,3717,0.135674
3,3400,3717,0.135478
3,3500,3717,0.135336
3,3600,3717,0.135212
3,3700,3717,0.135059
4,100,3717,0.127237
4,200,3717,0.127180
4,300,3717,0.127582
4,400,3717,0.127637
4,500,3717,0.127702
4,600,3717,0.127795
4,700,3717,0.127763
4,800,3717,0.127560
4,900,3717,0.127669
4,1000,3717,0.127628
4,1100,3717,0.127672
4,1200,3717,0.127656
4,1300,3717,0.127540
4,1400,3717,0.127314
4,1500,3717,0.127344
4,1600,3717,0.127104
4,1700,3717,0.127088
4,1800,3717,0.126989
4,1900,3717,0.126930
4,2000,3717,0.126816
4,2100,3717,0.126740
4,2200,3717,0.126698
4,2300,3717,0.126565
4,2400,3717,0.126458
4,2500,3717,0.126371
4,2600,3717,0.126248
4,2700,3717,0.126073
4,2800,3717,0.126001
4,2900,3717,0.125949
4,3000,3717,0.125858
4,3100,3717,0.125852
4,3200,3717,0.125710
4,3300,3717,0.125625
4,3400,3717,0.125508
4,3500,3717,0.125384
4,3600,3717,0.125281
4,3700,3717,0.125154
5,100,3717,0.117612
5,200,3717,0.118628
5,300,3717,0.118525
5,400,3717,0.118914
5,500,3717,0.118952
5,600,3717,0.118900
5,700,3717,0.118845
5,800,3717,0.119110
5,900,3717,0.119154
5,1000,3717,0.119129
5,1100,3717,0.119108
5,1200,3717,0.119036
5,1300,3717,0.118956
5,1400,3717,0.118908
5,1500,3717,0.118895
5,1600,3717,0.118911
5,1700,3717,0.118858
5,1800,3717,0.118799
5,1900,3717,0.118800
5,2000,3717,0.118757
5,2100,3717,0.118666
5,2200,3717,0.118561
5,2300,3717,0.118556
5,2400,3717,0.118454
5,2500,3717,0.118414
5,2600,3717,0.118515
5,2700,3717,0.118407
5,2800,3717,0.118351
5,2900,3717,0.118274
5,3000,3717,0.118225
5,3100,3717,0.118230
5,3200,3717,0.118096
5,3300,3717,0.118010
5,3400,3717,0.118001
5,3500,3717,0.117911
5,3600,3717,0.117823
5,3700,3717,0.117718
6,100,3717,0.109566
6,200,3717,0.109221
6,300,3717,0.109899
6,400,3717,0.110036
6,500,3717,0.110066
6,600,3717,0.110365
6,700,3717,0.110728
6,800,3717,0.110712
6,900,3717,0.110654
6,1000,3717,0.110862
6,1100,3717,0.110985
6,1200,3717,0.110933
6,1300,3717,0.110862
6,1400,3717,0.111004
6,1500,3717,0.111011
6,1600,3717,0.111020
6,1700,3717,0.111049
6,1800,3717,0.111165
6,1900,3717,0.111118
6,2000,3717,0.111108
6,2100,3717,0.111009
6,2200,3717,0.111060
6,2300,3717,0.111111
6,2400,3717,0.111160
6,2500,3717,0.111064
6,2600,3717,0.111127
6,2700,3717,0.111149
6,2800,3717,0.111114
6,2900,3717,0.111129
6,3000,3717,0.111064
6,3100,3717,0.111093
6,3200,3717,0.111034
6,3300,3717,0.110943
6,3400,3717,0.110902
6,3500,3717,0.110864
6,3600,3717,0.110833
6,3700,3717,0.110795
7,100,3717,0.101613
7,200,3717,0.100022
7,300,3717,0.100507
7,400,3717,0.100166
7,500,3717,0.100007
7,600,3717,0.100466
7,700,3717,0.100585
7,800,3717,0.100339
7,900,3717,0.100285
7,1000,3717,0.100319
7,1100,3717,0.100495
7,1200,3717,0.100526
7,1300,3717,0.100680
7,1400,3717,0.100749
7,1500,3717,0.100739
7,1600,3717,0.100711
7,1700,3717,0.100829
7,1800,3717,0.100819
7,1900,3717,0.100806
7,2000,3717,0.100760
7,2100,3717,0.100673
7,2200,3717,0.100637
7,2300,3717,0.100614
7,2400,3717,0.100526
7,2500,3717,0.100592
7,2600,3717,0.100609
7,2700,3717,0.100655
7,2800,3717,0.100682
7,2900,3717,0.100645
7,3000,3717,0.100655
7,3100,3717,0.100687
7,3200,3717,0.100693
7,3300,3717,0.100651
7,3400,3717,0.100687
7,3500,3717,0.100667
7,3600,3717,0.100607
7,3700,3717,0.100636
8,100,3717,0.089360
8,200,3717,0.089590
8,300,3717,0.089377
8,400,3717,0.089324
8,500,3717,0.089399
8,600,3717,0.089477
8,700,3717,0.089566
8,800,3717,0.089630
8,900,3717,0.089717
8,1000,3717,0.089727
8,1100,3717,0.089861
8,1200,3717,0.089899
8,1300,3717,0.089885
8,1400,3717,0.089914
8,1500,3717,0.089928
8,1600,3717,0.090015
8,1700,3717,0.090081
8,1800,3717,0.090200
8,1900,3717,0.090153
8,2000,3717,0.090173
8,2100,3717,0.090223
8,2200,3717,0.090242
8,2300,3717,0.090264
8,2400,3717,0.090362
8,2500,3717,0.090385
8,2600,3717,0.090422
8,2700,3717,0.090391
8,2800,3717,0.090389
8,2900,3717,0.090420
8,3000,3717,0.090438
8,3100,3717,0.090430
8,3200,3717,0.090360
8,3300,3717,0.090298
8,3400,3717,0.090281
8,3500,3717,0.090295
8,3600,3717,0.090346
8,3700,3717,0.090355
9,100,3717,0.077149
9,200,3717,0.078142
9,300,3717,0.078459
9,400,3717,0.078828
9,500,3717,0.079155
9,600,3717,0.079024
9,700,3717,0.078644
9,800,3717,0.078894
9,900,3717,0.079264
9,1000,3717,0.079231
9,1100,3717,0.079335
9,1200,3717,0.079517
9,1300,3717,0.079528
9,1400,3717,0.079497
9,1500,3717,0.079665
9,1600,3717,0.079620
9,1700,3717,0.079650
9,1800,3717,0.079673
9,1900,3717,0.079681
9,2000,3717,0.079700
9,2100,3717,0.079812
9,2200,3717,0.079834
9,2300,3717,0.079858
9,2400,3717,0.079870
9,2500,3717,0.079946
9,2600,3717,0.080062
9,2700,3717,0.080142
9,2800,3717,0.080125
9,2900,3717,0.080150
9,3000,3717,0.080231
9,3100,3717,0.080255
9,3200,3717,0.080311
9,3300,3717,0.080383
9,3400,3717,0.080381
9,3500,3717,0.080376
9,3600,3717,0.080388
9,3700,3717,0.080402
10,100,3717,0.069977
10,200,3717,0.069034
10,300,3717,0.068570
10,400,3717,0.068881
10,500,3717,0.068765
10,600,3717,0.068989
10,700,3717,0.069183
10,800,3717,0.069284
10,900,3717,0.069209
10,1000,3717,0.069296
10,1100,3717,0.069454
10,1200,3717,0.069478
10,1300,3717,0.069699
10,1400,3717,0.069782
10,1500,3717,0.069808
10,1600,3717,0.069847
10,1700,3717,0.069915
10,1800,3717,0.070003
10,1900,3717,0.070002
10,2000,3717,0.070019
10,2100,3717,0.070160
10,2200,3717,0.070135
10,2300,3717,0.070193
10,2400,3717,0.070252
10,2500,3717,0.070319
10,2600,3717,0.070383
10,2700,3717,0.070435
10,2800,3717,0.070434
10,2900,3717,0.070485
10,3000,3717,0.070584
10,3100,3717,0.070661
10,3200,3717,0.070700
10,3300,3717,0.070791
10,3400,3717,0.070823
10,3500,3717,0.070860
10,3600,3717,0.070916
10,3700,3717,0.071014
11,100,3717,0.058833
11,200,3717,0.059752
11,300,3717,0.059829
11,400,3717,0.059772
11,500,3717,0.059867
11,600,3717,0.059862
11,700,3717,0.059645
11,800,3717,0.059879
11,900,3717,0.060080
11,1000,3717,0.060257
11,1100,3717,0.060386
11,1200,3717,0.060528
11,1300,3717,0.060558
11,1400,3717,0.060678
11,1500,3717,0.060759
11,1600,3717,0.060835
11,1700,3717,0.060885
11,1800,3717,0.060943
11,1900,3717,0.061107
11,2000,3717,0.061128
11,2100,3717,0.061175
11,2200,3717,0.061247
11,2300,3717,0.061363
11,2400,3717,0.061409
11,2500,3717,0.061400
11,2600,3717,0.061532
11,2700,3717,0.061663
11,2800,3717,0.061737
11,2900,3717,0.061790
11,3000,3717,0.061789
11,3100,3717,0.061864
11,3200,3717,0.061969
11,3300,3717,0.062056
11,3400,3717,0.062108
11,3500,3717,0.062227
11,3600,3717,0.062290
11,3700,3717,0.062302
12,100,3717,0.051800
12,200,3717,0.051428
12,300,3717,0.051638
12,400,3717,0.051870
12,500,3717,0.051925
12,600,3717,0.051798
12,700,3717,0.051883
12,800,3717,0.052184
12,900,3717,0.052384
12,1000,3717,0.052479
12,1100,3717,0.052417
12,1200,3717,0.052568
12,1300,3717,0.052635
12,1400,3717,0.052738
12,1500,3717,0.052787
12,1600,3717,0.052834
12,1700,3717,0.052946
12,1800,3717,0.053026
12,1900,3717,0.053082
12,2000,3717,0.053183
12,2100,3717,0.053172
12,2200,3717,0.053287
12,2300,3717,0.053387
12,2400,3717,0.053421
12,2500,3717,0.053452
12,2600,3717,0.053526
12,2700,3717,0.053633
12,2800,3717,0.053686
12,2900,3717,0.053731
12,3000,3717,0.053749
12,3100,3717,0.053854
12,3200,3717,0.053941
12,3300,3717,0.054016
12,3400,3717,0.054079
12,3500,3717,0.054129
12,3600,3717,0.054156
12,3700,3717,0.054232
13,100,3717,0.042630
13,200,3717,0.044156
13,300,3717,0.044304
13,400,3717,0.044226
13,500,3717,0.044476
13,600,3717,0.044366
13,700,3717,0.044442
13,800,3717,0.044432
13,900,3717,0.044621
13,1000,3717,0.044762
13,1100,3717,0.044837
13,1200,3717,0.044844
13,1300,3717,0.044836
13,1400,3717,0.044901
13,1500,3717,0.044897
13,1600,3717,0.045158
13,1700,3717,0.045267
13,1800,3717,0.045334
13,1900,3717,0.045422
13,2000,3717,0.045528
13,2100,3717,0.045582
13,2200,3717,0.045568
13,2300,3717,0.045656
13,2400,3717,0.045744
13,2500,3717,0.045832
13,2600,3717,0.045922
13,2700,3717,0.045969
13,2800,3717,0.046012
13,2900,3717,0.046065
13,3000,3717,0.046102
13,3100,3717,0.046168
13,3200,3717,0.046318
13,3300,3717,0.046346
