epoch,batch,n_batches,running_loss,batch_loss,lr,batch_f1,batch_acc,batch_prec
1,5,50,14.759810,14.251030,0.00001000,0.104362,0.590461,0.076422
1,10,50,13.944152,12.365992,0.00001000,0.125418,0.641996,0.102295
1,15,50,13.264778,11.496146,0.00001000,0.111040,0.673794,0.146894
1,20,50,12.648265,10.716624,0.00001000,0.091953,0.709978,0.190253
1,25,50,12.105432,9.704053,0.00001000,0.090040,0.767544,0.115802
1,30,50,11.603283,8.697608,0.00001000,0.097665,0.801535,0.124309
1,35,50,11.157072,8.407572,0.00001000,0.084990,0.813596,0.138281
1,40,50,10.768102,7.934416,0.00001000,0.067802,0.828399,0.160464
1,45,50,10.428033,7.651657,0.00001000,0.071984,0.839364,0.142392
1,50,50,10.134752,7.144151,0.00001000,0.125660,0.849232,0.318141
2,5,50,6.598485,6.284878,0.00010000,0.121559,0.868421,0.209981
2,10,50,6.205309,5.364807,0.00010000,0.181816,0.883224,0.298975
2,15,50,6.139174,5.627068,0.00010000,0.192979,0.870066,0.282381
2,20,50,5.988546,5.186968,0.00010000,0.200986,0.888706,0.320623
2,25,50,5.909600,5.808435,0.00010000,0.169817,0.872807,0.206910
2,30,50,5.819607,5.665925,0.00010000,0.216519,0.871711,0.268843
2,35,50,5.763144,5.265794,0.00010000,0.216432,0.877193,0.257910
2,40,50,5.684033,4.960378,0.00010000,0.206898,0.887610,0.260215
2,45,50,5.648564,5.559190,0.00010000,0.159876,0.878838,0.290275
2,50,50,5.602180,5.315170,0.00010000,0.212937,0.873355,0.319123
3,5,50,5.059869,4.411178,0.00005050,0.214226,0.896382,0.281128
3,10,50,5.134617,4.848574,0.00005050,0.243765,0.894737,0.366630
3,15,50,5.071734,4.663932,0.00005050,0.213428,0.893640,0.279916
3,20,50,5.013953,4.704348,0.00005050,0.206596,0.891447,0.292215
3,25,50,4.968723,4.783147,0.00005050,0.253756,0.895833,0.379699
3,30,50,4.953586,5.272001,0.00005050,0.272664,0.879934,0.379580
3,35,50,4.935028,4.308621,0.00005050,0.260517,0.907346,0.349840
3,40,50,4.932674,4.847537,0.00005050,0.240060,0.893092,0.337420
3,45,50,4.931645,4.388116,0.00005050,0.285924,0.898575,0.508700
3,50,50,4.930656,5.020217,0.00005050,0.278248,0.882675,0.367201
