#meta,model_name,total_params_M,flops_mflops,hardware_name,total_vram_gb,free_vram_gb
#meta,vit_base_patch16_224,85.81,200.8,NVIDIA GeForce RTX 3060 Ti,8.2,8.2
#model_mem,weight_mb,gradient_mb,optimizer_mb,activation_mb_per_image,total_static_mb
#model_mem,343.3,343.3,686.5,162.2,1373.0
batch_size,trace_mode,s_per_batch_train,imgs_per_s_train,s_per_batch_eval,imgs_per_s_eval,peak_vram_gb,oom,est_train_min_per_epoch,est_eval_min_per_epoch,est_total_min_per_epoch,est_total_h_30ep
32,off,0.4712,67.9,0.1527,209.5,4.94,no,58.4,9.7,68.1,34.06
32,simple,0.4767,67.1,0.1531,209.0,4.94,no,59.1,9.8,68.8,34.4
32,deep,0.5711,56.0,0.213,150.2,4.94,no,70.8,13.6,84.3,42.16
64,off,,,,,,yes,,,,
64,simple,,,,,,yes,,,,
64,deep,,,,,,yes,,,,
128,off,,,,,,yes,,,,
128,simple,,,,,,yes,,,,
128,deep,,,,,,yes,,,,
16,off,0.3571,44.8,0.1489,107.5,3.0,no,88.5,19.0,107.5,53.73
16,simple,0.3617,44.2,0.1502,106.5,3.0,no,89.6,19.1,108.8,54.38
16,deep,0.4204,38.1,0.1847,86.6,3.0,no,104.2,23.5,127.7,63.86
