epoch,batch,n_batches,running_loss
1,100,3717,0.428246
1,200,3717,0.401953
1,300,3717,0.392546
1,400,3717,0.385145
1,500,3717,0.379654
1,600,3717,0.375116
1,700,3717,0.372218
1,800,3717,0.369142
1,900,3717,0.366783
1,1000,3717,0.364691
1,1100,3717,0.362740
1,1200,3717,0.360976
1,1300,3717,0.359502
1,1400,3717,0.358018
1,1500,3717,0.356547
1,1600,3717,0.355169
1,1700,3717,0.353887
1,1800,3717,0.352600
1,1900,3717,0.351604
1,2000,3717,0.350629
1,2100,3717,0.349881
1,2200,3717,0.349115
1,2300,3717,0.348226
1,2400,3717,0.347270
1,2500,3717,0.346484
1,2600,3717,0.345835
1,2700,3717,0.345430
1,2800,3717,0.344694
1,2900,3717,0.343991
1,3000,3717,0.343355
1,3100,3717,0.342796
1,3200,3717,0.342116
1,3300,3717,0.341536
1,3400,3717,0.340983
1,3500,3717,0.340574
1,3600,3717,0.340224
1,3700,3717,0.339633
2,100,3717,0.327348
2,200,3717,0.326230
2,300,3717,0.326839
2,400,3717,0.326349
2,500,3717,0.324424
2,600,3717,0.324182
2,700,3717,0.323199
2,800,3717,0.322890
2,900,3717,0.322578
2,1000,3717,0.322651
2,1100,3717,0.321727
2,1200,3717,0.321206
2,1300,3717,0.320816
2,1400,3717,0.320256
2,1500,3717,0.319638
2,1600,3717,0.319428
2,1700,3717,0.319074
2,1800,3717,0.318653
2,1900,3717,0.318524
2,2000,3717,0.318215
2,2100,3717,0.318067
2,2200,3717,0.317553
2,2300,3717,0.317137
2,2400,3717,0.316689
2,2500,3717,0.316309
2,2600,3717,0.315953
2,2700,3717,0.315620
2,2800,3717,0.315250
2,2900,3717,0.314803
2,3000,3717,0.314579
2,3100,3717,0.314434
2,3200,3717,0.314297
2,3300,3717,0.314115
2,3400,3717,0.313851
2,3500,3717,0.313658
2,3600,3717,0.313570
2,3700,3717,0.313306
3,100,3717,0.302289
3,200,3717,0.307353
3,300,3717,0.306760
3,400,3717,0.306287
3,500,3717,0.304751
3,600,3717,0.305049
3,700,3717,0.305283
3,800,3717,0.305060
3,900,3717,0.304579
3,1000,3717,0.304751
3,1100,3717,0.304905
3,1200,3717,0.304629
3,1300,3717,0.304346
3,1400,3717,0.304004
3,1500,3717,0.304085
3,1600,3717,0.304031
3,1700,3717,0.303995
3,1800,3717,0.303882
3,1900,3717,0.303487
3,2000,3717,0.303162
3,2100,3717,0.303374
3,2200,3717,0.303338
3,2300,3717,0.303080
3,2400,3717,0.302884
3,2500,3717,0.302711
3,2600,3717,0.302597
3,2700,3717,0.302395
3,2800,3717,0.302331
3,2900,3717,0.302255
3,3000,3717,0.302215
3,3100,3717,0.302161
3,3200,3717,0.301991
3,3300,3717,0.301882
3,3400,3717,0.301869
3,3500,3717,0.301884
3,3600,3717,0.301845
3,3700,3717,0.301782
4,100,3717,0.297913
4,200,3717,0.297826
4,300,3717,0.297987
4,400,3717,0.297893
4,500,3717,0.297526
4,600,3717,0.297598
4,700,3717,0.297521
4,800,3717,0.297800
4,900,3717,0.298162
4,1000,3717,0.298346
4,1100,3717,0.298074
4,1200,3717,0.298307
4,1300,3717,0.298335
4,1400,3717,0.297933
4,1500,3717,0.297869
4,1600,3717,0.297987
4,1700,3717,0.297774
