epoch,true_class,pred_class,value
1,Urban fabric,Urban fabric,0.66501
1,Urban fabric,Industrial or commercial units,0.066328
1,Urban fabric,Arable land,0.556043
1,Urban fabric,Permanent crops,0.069621
1,Urban fabric,Pastures,0.214872
1,Urban fabric,Complex cultivation patterns,0.388086
1,Urban fabric,Land principally occupied by agriculture,0.0
1,Urban fabric,Agro-forestry areas,0.016697
1,Urban fabric,Broad-leaved forest,0.205165
1,Urban fabric,Coniferous forest,0.180841
1,Urban fabric,Mixed forest,0.299226
1,Urban fabric,Natural grassland and sparsely vegetated areas,0.000982
1,Urban fabric,"Moors, heathland and sclerophyllous vegetation",0.000867
1,Urban fabric,"Transitional woodland, shrub",0.067252
1,Urban fabric,"Beaches, dunes, sands",0.000636
1,Urban fabric,Inland wetlands,5.8e-05
1,Urban fabric,Coastal wetlands,0.0
1,Urban fabric,Inland waters,0.032239
1,Urban fabric,Marine waters,0.010342
1,Industrial or commercial units,Urban fabric,0.646368
1,Industrial or commercial units,Industrial or commercial units,0.325018
1,Industrial or commercial units,Arable land,0.501834
1,Industrial or commercial units,Permanent crops,0.059428
1,Industrial or commercial units,Pastures,0.135363
1,Industrial or commercial units,Complex cultivation patterns,0.215334
1,Industrial or commercial units,Land principally occupied by agriculture,0.0
1,Industrial or commercial units,Agro-forestry areas,0.042186
1,Industrial or commercial units,Broad-leaved forest,0.115921
1,Industrial or commercial units,Coniferous forest,0.177183
1,Industrial or commercial units,Mixed forest,0.268525
1,Industrial or commercial units,Natural grassland and sparsely vegetated areas,0.0
1,Industrial or commercial units,"Moors, heathland and sclerophyllous vegetation",0.0
1,Industrial or commercial units,"Transitional woodland, shrub",0.059061
1,Industrial or commercial units,"Beaches, dunes, sands",0.0
1,Industrial or commercial units,Inland wetlands,0.0
1,Industrial or commercial units,Coastal wetlands,0.0
1,Industrial or commercial units,Inland waters,0.052091
1,Industrial or commercial units,Marine waters,0.008804
1,Arable land,Urban fabric,0.196473
1,Arable land,Industrial or commercial units,0.012807
1,Arable land,Arable land,0.709653
1,Arable land,Permanent crops,0.04948
1,Arable land,Pastures,0.201017
1,Arable land,Complex cultivation patterns,0.226733
1,Arable land,Land principally occupied by agriculture,0.0
1,Arable land,Agro-forestry areas,0.11402
1,Arable land,Broad-leaved forest,0.223616
1,Arable land,Coniferous forest,0.224823
1,Arable land,Mixed forest,0.321129
1,Arable land,Natural grassland and sparsely vegetated areas,0.000905
1,Arable land,"Moors, heathland and sclerophyllous vegetation",0.000844
