epoch,train_loss,val_loss,train_f1,val_f1,train_acc,val_acc,val_prec,val_rec,epoch_time_s
1,0.33952,0.210788,0.425374,0.525871,0.913809,0.922155,0.691129,0.469179,3966.09
2,0.313245,0.188401,0.570729,0.609749,0.931672,0.933096,0.723461,0.553886,3983.74
3,0.30176,0.181465,0.647628,0.649855,0.939267,0.937211,0.767171,0.59809,3984.51
4,0.295795,0.176479,0.682648,0.665589,0.943362,0.938801,0.764186,0.61432,3995.27
5,0.290277,0.179932,0.706661,0.661507,0.946633,0.937481,0.75613,0.618386,3989.65
6,0.2884,0.17852,0.723071,0.673108,0.948805,0.938309,0.741037,0.632737,3992.91
7,0.28208,0.175805,0.74835,0.681565,0.952873,0.938696,0.729835,0.654094,4000.35
8,0.275761,0.181705,0.772874,0.664193,0.957123,0.93738,0.72978,0.637719,3995.41
9,0.271655,0.182339,0.790406,0.674265,0.960659,0.937344,0.7317,0.638721,3991.12
10,0.265738,0.184858,0.809322,0.673659,0.96442,0.936473,0.729115,0.646296,3985.1
11,0.260946,0.18792,0.822103,0.663784,0.967559,0.935912,0.737592,0.621929,4002.84
12,0.257618,0.194822,0.835845,0.671391,0.970472,0.934314,0.706135,0.655867,3991.51
13,0.251429,0.195137,0.850314,0.661632,0.974128,0.934506,0.729567,0.628146,3983.84
14,0.249518,0.197578,0.85823,0.661977,0.976346,0.934309,0.72623,0.623845,3980.61
15,0.243782,0.202799,0.870034,0.666687,0.9793,0.932623,0.706989,0.642628,4000.19
16,0.241155,0.204267,0.877545,0.659964,0.981551,0.933251,0.705043,0.639703,3986.85
17,0.238797,0.203731,0.88331,0.669734,0.983095,0.933693,0.715074,0.64312,3992.24
