epoch,class_name,class_idx,f1,precision,recall
1,Urban fabric,0,0.716241,0.776025,0.66501
1,Industrial or commercial units,1,0.43041,0.636952,0.325018
1,Arable land,2,0.788526,0.887124,0.709653
1,Permanent crops,3,0.491545,0.708252,0.376381
1,Pastures,4,0.682463,0.831964,0.578507
1,Complex cultivation patterns,5,0.565655,0.711962,0.469229
1,Land principally occupied by agriculture,6,0.0,0.0,0.0
1,Agro-forestry areas,7,0.772533,0.721242,0.831678
1,Broad-leaved forest,8,0.660828,0.756986,0.586345
1,Coniferous forest,9,0.808307,0.775288,0.844264
1,Mixed forest,10,0.771554,0.712952,0.840651
1,Natural grassland and sparsely vegetated areas,11,0.389212,0.672146,0.273911
1,"Moors, heathland and sclerophyllous vegetation",12,0.113,0.636119,0.062007
1,"Transitional woodland, shrub",13,0.568742,0.681038,0.488237
1,"Beaches, dunes, sands",14,0.386617,0.928571,0.244131
1,Inland wetlands,15,0.210929,0.878261,0.119858
1,Coastal wetlands,16,0.0,0.0,0.0
1,Inland waters,17,0.706204,0.854515,0.601761
1,Marine waters,18,0.928792,0.962054,0.897753
2,Urban fabric,0,0.759779,0.800832,0.722729
2,Industrial or commercial units,1,0.507101,0.694073,0.399486
2,Arable land,2,0.840968,0.861867,0.821059
2,Permanent crops,3,0.580017,0.766843,0.46639
2,Pastures,4,0.708695,0.860711,0.602315
2,Complex cultivation patterns,5,0.69027,0.651538,0.733897
2,Land principally occupied by agriculture,6,0.0,0.0,0.0
2,Agro-forestry areas,7,0.778376,0.876689,0.69989
2,Broad-leaved forest,8,0.736931,0.774168,0.703111
2,Coniferous forest,9,0.834485,0.82203,0.847323
2,Mixed forest,10,0.798304,0.753718,0.848495
2,Natural grassland and sparsely vegetated areas,11,0.439518,0.830403,0.298846
2,"Moors, heathland and sclerophyllous vegetation",12,0.357654,0.804968,0.2299
2,"Transitional woodland, shrub",13,0.644772,0.677668,0.614922
2,"Beaches, dunes, sands",14,0.634294,0.896996,0.49061
2,Inland wetlands,15,0.518826,0.804321,0.382911
2,Coastal wetlands,16,0.0,0.0,0.0
2,Inland waters,17,0.798532,0.898545,0.718553
2,Marine waters,18,0.9567,0.97038,0.943402
3,Urban fabric,0,0.772762,0.809452,0.739254
