epoch,batch,n_batches,running_loss,batch_loss,lr,batch_f1,batch_acc,batch_prec
1,5,53,1.149356,1.092826,0.00001000,0.134899,0.382127,0.110242
1,10,53,1.087305,0.960986,0.00001000,0.110555,0.424342,0.082637
1,15,53,1.023833,0.850036,0.00001000,0.129383,0.469846,0.147665
1,20,53,0.969723,0.773178,0.00001000,0.122667,0.526316,0.166542
1,25,53,0.919657,0.699426,0.00001000,0.126912,0.599781,0.102712
1,30,53,0.872366,0.620987,0.00001000,0.138043,0.680373,0.187042
1,35,53,0.830546,0.552259,0.00001000,0.105518,0.739035,0.112927
1,40,53,0.791844,0.502408,0.00001000,0.087299,0.790022,0.129829
1,45,53,0.756118,0.455647,0.00001000,0.068451,0.816886,0.142105
1,50,53,0.723723,0.406401,0.00001000,0.073492,0.845395,0.166813
1,53,53,0.705605,0.386283,0.00001000,0.000000,0.848684,0.000000
2,5,53,0.370170,0.355061,0.00010000,0.075925,0.849232,0.107480
2,10,53,0.354816,0.327071,0.00010000,0.125307,0.867873,0.198323
2,15,53,0.346800,0.318101,0.00010000,0.181290,0.868969,0.238116
2,20,53,0.333289,0.299626,0.00010000,0.168975,0.868421,0.323969
2,25,53,0.322786,0.254201,0.00010000,0.185684,0.895285,0.307151
2,30,53,0.316286,0.277743,0.00010000,0.176581,0.872807,0.244228
2,35,53,0.310002,0.265037,0.00010000,0.190196,0.880482,0.303126
2,40,53,0.305848,0.277475,0.00010000,0.233854,0.884320,0.268328
2,45,53,0.300232,0.270432,0.00010000,0.193933,0.881579,0.333009
2,50,53,0.295720,0.261616,0.00010000,0.223393,0.893092,0.251014
2,53,53,0.294419,0.267487,0.00010000,0.226566,0.881579,0.289474
3,5,53,0.268022,0.278115,0.00005050,0.239266,0.869518,0.330085
3,10,53,0.263834,0.262052,0.00005050,0.297261,0.889254,0.418857
3,15,53,0.266269,0.274516,0.00005050,0.219655,0.879934,0.332094
3,20,53,0.261717,0.254218,0.00005050,0.234254,0.884320,0.360283
3,25,53,0.260650,0.240584,0.00005050,0.265491,0.890351,0.407817
3,30,53,0.258633,0.236313,0.00005050,0.290460,0.896382,0.472590
3,35,53,0.257064,0.241696,0.00005050,0.238583,0.899671,0.361827
3,40,53,0.255353,0.255157,0.00005050,0.264918,0.888706,0.292693
3,45,53,0.255574,0.250490,0.00005050,0.292025,0.894189,0.411924
3,50,53,0.254534,0.229243,0.00005050,0.269910,0.903509,0.362614
3,53,53,0.253146,0.182579,0.00005050,0.271930,0.921053,0.302632
